circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Rolling Contact,Little Thin Light,exist except,,天音,,渡る者の途絶えた橋,1,コミックマーケット75
Rolling Contact,Little Thin Light,腋コア 2008,,天音,,少女綺想曲　～ Dream Battle,2,コミックマーケット75
Rolling Contact,Little Thin Light,MausoleuM,,天音,,アイリス,3,コミックマーケット75
Rolling Contact,Little Thin Light,Sleeping Terror,,天音,,眠れる恐怖　～ Sleeping Terror,4,コミックマーケット75
Rolling Contact,Little Thin Light,The rain came pouring down,,天音,,フォールオブフォール　～ 秋めく滝,5,コミックマーケット75
Rolling Contact,Little Thin Light,viewless,,天音,,少女が見た日本の原風景,6,コミックマーケット75
Rolling Contact,Little Thin Light,Can spring be far behind ? (Ibiza Remix),,天音,,さくらさくら　～ Japanize Dream...,7,コミックマーケット75
Rolling Contact,Little Thin Light,綺雪朧月 ～Eternal Fullmoon (Ibiza Remix),,天音,,永遠の満月,8,コミックマーケット75
Rolling Contact,Little Thin Light,"Bellow, Black and Necromans",,天音,,ネクロファンタジア,9,コミックマーケット75
Rolling Contact,Little Thin Light,subliminal sublime,,天音,,有頂天変　～ Wonderful Heaven,10,コミックマーケット75
