circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Rolling Contact,Dream Blossom,Imperishable Screaming Show (DJ mix),,天音,,永夜の報い　～ Imperishable Night.,1,COMIC1☆3
Rolling Contact,Dream Blossom,夢ごろも、昨日のコト -Rolling Contact Remix-,,天音,,明日ハレの日、ケの昨日,2,COMIC1☆3
Rolling Contact,Dream Blossom,デンドロビウム,,天音,,裏切りの少女　～ Judas Kiss,3,COMIC1☆3
Rolling Contact,Dream Blossom,Melt in the sky,,天音,,仰空,4,COMIC1☆3
Rolling Contact,Dream Blossom,so White -Original Version-,,天音,,人形裁判　～ 人の形弄びし少女,5,COMIC1☆3
Rolling Contact,Dream Blossom,綺雪流水 ～Eternal Maiden,,天音,,永遠の巫女,6,COMIC1☆3
Rolling Contact,Dream Blossom,Apparition girl too -Rolling Contact Remix-,,天音,,ハルトマンの妖怪少女,7,COMIC1☆3
Rolling Contact,Dream Blossom,Seized Puppy,,天音,,Eternal Dream　～ 幽玄の槭樹,8,COMIC1☆3
Rolling Contact,Dream Blossom,燐燁雪霞 ～Eastern Feast,,天音,,Demystify Feast,9,COMIC1☆3
Rolling Contact,Dream Blossom,Stormy Blossom,,天音,,春色小径　～ Colorful Path,10,COMIC1☆3
Rolling Contact,Dream Blossom,MiTiBi of pantheon -Rolling Contact Remix-,,天音,,神さびた古戦場　～ Suwa Foughten Field,11,COMIC1☆3
Rolling Contact,Dream Blossom,tranceparent mist,,天音,,月まで届け、不死の煙,12,COMIC1☆3
Rolling Contact,Dream Blossom,萃窮之夢 ～Embrace to Dream,,天音,,砕月,13,COMIC1☆3
Rolling Contact,Dream Blossom,萃窮之夢 ～End of Dream,,天音,,東方萃夢想,14,COMIC1☆3
Rolling Contact,Dream Blossom,LANDSCAPE,,天音,,竹取飛翔　～ Lunatic Princess,15,COMIC1☆3
