circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Rolling Contact,HARDCORE BARRAGE 6,Feather -Intro-,,天音,,凍り付いた永遠の都,1,博麗神社秋季例大祭3
Rolling Contact,HARDCORE BARRAGE 6,Wormhole,,天音,,デザイアドライブ,2,博麗神社秋季例大祭3
Rolling Contact,HARDCORE BARRAGE 6,Take Me Away From Here,,天音,,感情の摩天楼　～ Cosmic Mind,3,博麗神社秋季例大祭3
Rolling Contact,HARDCORE BARRAGE 6,Look Around,,天音,,春の湊に,4,博麗神社秋季例大祭3
Rolling Contact,HARDCORE BARRAGE 6,Tomorrow is Sunny,,天音,,明日ハレの日、ケの昨日,5,博麗神社秋季例大祭3
Rolling Contact,HARDCORE BARRAGE 6,Last Resort,,天音,,ラストリモート,6,博麗神社秋季例大祭3
Rolling Contact,HARDCORE BARRAGE 6,Pierrotflag,,天音,,星条旗のピエロ,7,博麗神社秋季例大祭3
Rolling Contact,HARDCORE BARRAGE 6,Tunnup,,天音,,ラストオカルティズム　～ 現し世の秘術師,8,博麗神社秋季例大祭3
Rolling Contact,HARDCORE BARRAGE 6,Cried Ogre,,天音,,東方萃夢想:砕月,9,博麗神社秋季例大祭3
Rolling Contact,HARDCORE BARRAGE 6,Endless Vibb,,天音,,逆転するホイールオブフォーチュン:凍り付いた永遠の都,10,博麗神社秋季例大祭3
Rolling Contact,HARDCORE BARRAGE 6,Emptiness -Outro-,,天音,,逆転するホイールオブフォーチュン,11,博麗神社秋季例大祭3
