circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
セブンスヘブンMAXION,Dream Aeternus,GROW UP!,yuko,succubus,MAKI,Tabula rasa　～ 空白少女,1,コミックマーケット81
セブンスヘブンMAXION,Dream Aeternus,空想ストーリーテラー,大瀬良あい,溝口ゆうま,大瀬良あい,Reincarnation,2,コミックマーケット81
セブンスヘブンMAXION,Dream Aeternus,D.A.Z.E.,井上みゆ,七誌,七誌,Sailor of Time,3,コミックマーケット81
セブンスヘブンMAXION,Dream Aeternus,I want to obtain,Le Ciel,succubus,MAKI,Maniacal Princess,4,コミックマーケット81
セブンスヘブンMAXION,Dream Aeternus,LOSER DOGS,小田ユウ,kenya,MAKI,時の風,5,コミックマーケット81
セブンスヘブンMAXION,Dream Aeternus,こころづき,コツキミヤ,流歌,MAKI,久遠の夢:永遠の満月,6,コミックマーケット81
セブンスヘブンMAXION,Dream Aeternus,色褪せない夢,美里,流歌,MAKI,夢は時空を越えて,7,コミックマーケット81
セブンスヘブンMAXION,Dream Aeternus,拘束トリヱクラフタ,えみぃ,Party.,party.,Strawberry Crisis!!,8,コミックマーケット81
セブンスヘブンMAXION,Dream Aeternus,Ancien Princess,大瀬良あい,溝口ゆうま,大瀬良あい,Phantasmagoria,9,コミックマーケット81
セブンスヘブンMAXION,Dream Aeternus,BABEL,小田ユウ,kenya,MAKI,夢幻遊戯　～ Dream War,10,コミックマーケット81
セブンスヘブンMAXION,Dream Aeternus,欠片,Hi-Ne,流歌,MAKI,東方妖恋談,11,コミックマーケット81
セブンスヘブンMAXION,Dream Aeternus,いつかみた夢,星のユービィ～夢の梨本物語with船長,kenya,MAKI,Maple Dream...,12,コミックマーケット81
