circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
セブンスヘブンMAXION,Former Frontier Finalharvest,Dreamland -美しい記憶-,井上みゆ,七誌,七誌,Dream Land,1,コミックマーケット85
セブンスヘブンMAXION,Former Frontier Finalharvest,Tight World,riraka,succubus,MAKI,霊天　～ Spiritual Heaven:夢想時空,2,コミックマーケット85
セブンスヘブンMAXION,Former Frontier Finalharvest,もしかして：パラノイド,珠梨,鷺,鷺,Break the Sabbath,3,コミックマーケット85
セブンスヘブンMAXION,Former Frontier Finalharvest,死に至るCrescent moon,大瀬良あい,溝口ゆうま,溝口ゆうま,東方封魔録　～ 幽幻乱舞,4,コミックマーケット85
セブンスヘブンMAXION,Former Frontier Finalharvest,まいん●めいかー,梨本悠里,やまにょん,MAKI,戦車むすめのみるゆめ,5,コミックマーケット85
セブンスヘブンMAXION,Former Frontier Finalharvest,想像上の僕と、現実の君と僕,ちろ。,溝口ゆうま,MAKI,スターボウドリーム,6,コミックマーケット85
セブンスヘブンMAXION,Former Frontier Finalharvest,07 Black or White,小田ユウ,kenya,MAKI,星幽天使,7,コミックマーケット85
セブンスヘブンMAXION,Former Frontier Finalharvest,contamination,コツキミヤ,流歌,MAKI,the Last Judgement,8,コミックマーケット85
セブンスヘブンMAXION,Former Frontier Finalharvest,herselves,めらみぽっぷ,succubus,MAKI,ハーセルヴズ,9,コミックマーケット85
セブンスヘブンMAXION,Former Frontier Finalharvest,あきをさめ ,3L,kenya,MAKI,桜花之恋塚　～ Flower of Japan,10,コミックマーケット85
セブンスヘブンMAXION,Former Frontier Finalharvest,LOSER DOGS 2013 ,七誌,kenya:溝口ゆうま,MAKI,時の風,11,コミックマーケット85
