circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
セブンスヘブンMAXION,Iris,J.2 syndrome -evel eye-,大瀬良あい,溝口ゆうま,大瀬良あい,スプートニク幻夜:ゴーストリード,1,博麗神社例大祭12
セブンスヘブンMAXION,Iris,朧道,大瀬良あい,浅野五郎,MAKI,大神神話伝,2,博麗神社例大祭12
セブンスヘブンMAXION,Iris,死に至るCrescent moon,大瀬良あい,溝口ゆうま,溝口ゆうま,東方封魔録　～ 幽幻乱舞,3,博麗神社例大祭12
セブンスヘブンMAXION,Iris,Belief Authority,大瀬良あい,溝口ゆうま,溝口ゆうま,妖怪モダンコロニー,4,博麗神社例大祭12
セブンスヘブンMAXION,Iris,あたしやっぱりアイが好きv～もっと好き好きMIX,大瀬良あい,溝口ゆうま,MAKI,遠野幻想物語,5,博麗神社例大祭12
セブンスヘブンMAXION,Iris,Greater Fairy,大瀬良あい,succubus,大瀬良あい,ルーネイトエルフ,6,博麗神社例大祭12
セブンスヘブンMAXION,Iris,akasha-assembly,大瀬良あい,溝口ゆうま,MAKI,天使伝説:Strawberry Crisis!!,7,博麗神社例大祭12
セブンスヘブンMAXION,Iris,convalla Prison,大瀬良あい,溝口ゆうま,溝口ゆうま,ポイズンボディ　～ Forsaken Doll,8,博麗神社例大祭12
セブンスヘブンMAXION,Iris,あまねく森に紡ぐ詩 ～Magus Night～ReMIX,大瀬良あい,溝口ゆうま,大瀬良あい,メイガスナイト,9,博麗神社例大祭12
セブンスヘブンMAXION,Iris,鍵山雛の災厄ブルース,大瀬良あい,ARM,MAKI,ルーネイトエルフ,10,博麗神社例大祭12
セブンスヘブンMAXION,Iris,フライ★ハイ 悪戯サイコーMIX,大瀬良あい,溝口ゆうま,大瀬良あい,妖精大戦争　～ Fairy Wars,11,博麗神社例大祭12
セブンスヘブンMAXION,Iris,百鬼夜行狂乱舞,大瀬良あい,溝口ゆうま,大瀬良あい,御伽の国の鬼が島　～ Missing Power,12,博麗神社例大祭12
セブンスヘブンMAXION,Iris,Convallaria charm -恋する人形-,大瀬良あい,溝口ゆうま,大瀬良あい,ポイズンボディ　～ Forsaken Doll,13,博麗神社例大祭12
セブンスヘブンMAXION,Iris,Requiem～世界は終わり、そして始まる～ReMIX,大瀬良あい,溝口ゆうま,溝口ゆうま,暗闇の風穴,14,博麗神社例大祭12
セブンスヘブンMAXION,Iris,with you,大瀬良あい,kenya,MAKI,恋色マスタースパーク:少女綺想曲　～ Dream Battle,15,博麗神社例大祭12
