circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
SOS-Sound of Swing-,"“ŒPhone","Praying","",,,,1,
SOS-Sound of Swing-,"“ŒPhone","Playing","",,,,2,
SOS-Sound of Swing-,"“ŒPhone","Piece","",,,,3,
SOS-Sound of Swing-,"“ŒPhone","Locked1","",,,,4,
SOS-Sound of Swing-,"“ŒPhone","Locked2","",,,,5,
SOS-Sound of Swing-,"“ŒPhone","Dial","",,,,6,
SOS-Sound of Swing-,"“ŒPhone","Luna","",,,,7,
SOS-Sound of Swing-,"“ŒPhone","Descendant","",,,,8,
SOS-Sound of Swing-,"“ŒPhone","Pavane","",,,,9,
SOS-Sound of Swing-,"“ŒPhone","UN?","",,,,10,
SOS-Sound of Swing-,"“ŒPhone","Dichroism","",,,,11,
SOS-Sound of Swing-,"“ŒPhone","Inane1","",,,,12,
SOS-Sound of Swing-,"“ŒPhone","Inane2","",,,,13,
SOS-Sound of Swing-,"“ŒPhone","Forest","",,,,14,
SOS-Sound of Swing-,"“ŒPhone","Tales","",,,,15,
SOS-Sound of Swing-,"“ŒPhone","Marbling","",,,,16,
SOS-Sound of Swing-,"“ŒPhone","Necromancy","",,,,17,
SOS-Sound of Swing-,"“ŒPhone","Visionary","",,,,18,
SOS-Sound of Swing-,"“ŒPhone","Heautoscopy","",,,,19,
SOS-Sound of Swing-,"“ŒPhone","Asia","",,,,20,
SOS-Sound of Swing-,"“ŒPhone","Retribution","",,,,21,
SOS-Sound of Swing-,"“ŒPhone","TAKETORI","",,,,22,
SOS-Sound of Swing-,"“ŒPhone","bamboo","",,,,23,
SOS-Sound of Swing-,"“ŒPhone","1Q69","",,,,24,
SOS-Sound of Swing-,"“ŒPhone","Factory","",,,,25,
SOS-Sound of Swing-,"“ŒPhone","Archeron","",,,,26,
SOS-Sound of Swing-,"“ŒPhone","Poppy","",,,,27,
SOS-Sound of Swing-,"“ŒPhone","Hiroshige","",,,,28,
SOS-Sound of Swing-,"“ŒPhone","Legend","",,,,29,
SOS-Sound of Swing-,"“ŒPhone","Lunarscape","",,,,30,
SOS-Sound of Swing-,"“ŒPhone","Queen","",,,,31,
SOS-Sound of Swing-,"“ŒPhone","God","",,,,32,
SOS-Sound of Swing-,"“ŒPhone","Kappa","",,,,33,
SOS-Sound of Swing-,"“ŒPhone","waterfall","",,,,34,
SOS-Sound of Swing-,"“ŒPhone","mountain","",,,,35,
SOS-Sound of Swing-,"“ŒPhone","religion","",,,,36,
SOS-Sound of Swing-,"“ŒPhone","Captain","",,,,37,
SOS-Sound of Swing-,"“ŒPhone","Babel","",,,,38,
