circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
ShibayanRecords,TOHO BOSSA NOVA,フリフリおじょうさま,坂上なち,Shibayan,深水チエ,ツェペシュの幼き末裔,1,博麗神社例大祭9
ShibayanRecords,TOHO BOSSA NOVA,"Fraud, I promise",liebe,Mano,Mano,今昔幻想郷　～ Flower Land,2,博麗神社例大祭9
ShibayanRecords,TOHO BOSSA NOVA,Je cherche un oiseau,深水チエ,深水チエ,深水チエ,ネイティブフェイス,3,博麗神社例大祭9
ShibayanRecords,TOHO BOSSA NOVA,迷子のエコー,3L,Shibayan,深水チエ,ハルトマンの妖怪少女,4,博麗神社例大祭9
ShibayanRecords,TOHO BOSSA NOVA,たまにはSUNを,,鯛の小骨,,ヴワル魔法図書館,5,博麗神社例大祭9
ShibayanRecords,TOHO BOSSA NOVA,Otemba de Jane-yo,,cittan*,,おてんば恋娘,6,博麗神社例大祭9
ShibayanRecords,TOHO BOSSA NOVA,Shadow of the boundary,田辺,貿易風,貿易風,ネクロファンタジア,7,博麗神社例大祭9
ShibayanRecords,TOHO BOSSA NOVA,渡し舟の娘,℃iel,Shibayan,℃iel,彼岸帰航　～ Riverside View,8,博麗神社例大祭9
ShibayanRecords,TOHO BOSSA NOVA,Bom dia,,だ,,感情の摩天楼　～ Cosmic Mind,9,博麗神社例大祭9
ShibayanRecords,TOHO BOSSA NOVA,泡沫と繭,深水チエ,Shibayan,深水チエ,東方妖々夢　～ Ancient Temple:幽雅に咲かせ、墨染の桜　～ Border of Life,10,博麗神社例大祭9
