circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Siestail,テラ・アンダーグラウンド,intro:TerrorでUnknown,,すぺらんかー,,妖怪裏参道,1,東方紅楼夢7
Siestail,テラ・アンダーグラウンド,Devolution_Critical,真野紫,すぺらんかー,すぺらんかー,聖徳伝説　～ True Administrator,2,東方紅楼夢7
Siestail,テラ・アンダーグラウンド,Afterglow,小宮真央,すぺらんかー,すぺらんかー,古きユアンシェン,3,東方紅楼夢7
Siestail,テラ・アンダーグラウンド,ぽんぽこぺいん,℃iel,すぺらんかー,すぺらんかー,佐渡の二ッ岩,4,東方紅楼夢7
Siestail,テラ・アンダーグラウンド,だまされたりなんてしないっ!,都築きせの,すぺらんかー,すぺらんかー,大神神話伝,5,東方紅楼夢7
Siestail,テラ・アンダーグラウンド,はじめのいっぽ(vocal ver.),すぺらんかー,すぺらんかー,すぺらんかー,ゴーストリード,6,東方紅楼夢7
Siestail,テラ・アンダーグラウンド,ドっトイータ→,たま助,すぺらんかー,すぺらんかー,リジッドパラダイス,7,東方紅楼夢7
Siestail,テラ・アンダーグラウンド,不器用な光,nam,すぺらんかー,すぺらんかー,夢殿大祀廟,8,東方紅楼夢7
Siestail,テラ・アンダーグラウンド,天空りふれくしょん,プラスもなか,すぺらんかー,すぺらんかー,門前の妖怪小娘,9,東方紅楼夢7
Siestail,テラ・アンダーグラウンド,outro:墓地でぼっち,,すぺらんかー,,素敵な墓場で暮しましょ,10,東方紅楼夢7
