circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Silver Forest,東方電撃波動⑨ DISC-1,オレの妹がこんなに可愛いはずがない!,3L:さゆり:なつみ,NYO,bit,亡き王女の為のセプテット:U.N.オーエンは彼女なのか？,1,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-1,オサレ系邪気眼厨二病少女さとり,miko:なつみ,NYO,bit,少女さとり　～ 3rd eye,2,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-1,prologue,,,,,3,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-1,東方蓬莱ZUN,さゆり:なつみ,NYO,bit:NYO,,4,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-1,亡き巫女の為のセプテット,なつみ:さゆり,NYO,なつみ:bit:NYO,,5,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-1,epilogue,,,,,6,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-1,恋恋。新聞 春号,Shihori,Yassie,Yassie,妖怪の山　～ Mysterious Mountain,7,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-1,奇跡の価値は?,,Silver Forest,,少女さとり　～ 3rd eye,8,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-1,アリマリ撲滅委員会,miko:ちゃい:なつみ,NYO,bit,ラクトガール　～ 少女密室,9,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-1,天空伝説,,Silver Forest,,天空のグリニッジ,10,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-1,オレの妹がこんなに可愛いはずがない 第二期,3L:さゆり:なつみ,NYO,bit,亡き王女の為のセプテット:U.N.オーエンは彼女なのか？,11,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-1,じゃじゃーん,ちゃい:なつみ,Silver Forest,bit,,12,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-1,花粉症にはご用心,ちゃい:なつみ,NYO,bit,感情の摩天楼　～ Cosmic Mind,13,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-2,ケロ⑨destiny あうあうmix,めらみぽっぷ,ARM,bit,ネイティブフェイス,1,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-2,つるぺったん sun3 Remix,Kana,sun3,bit,竹取飛翔　～ Lunatic Princess,2,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-2,幼女幻想もう無理ぽ Amane HappyHardcore Remix,Nano,天音,bit,少女幻葬　～ Necro-Fantasy,3,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-2,ツンデレアリスの憂鬱 Tsukasa Remix,MAI:Kana,Tsukasa,NYO,,4,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-2,ねこにゃんのうた ねこみみmode,Nano,Silver Forest,bit,死体旅行　～ Be of good cheer!,5,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-2,ふぃーばー さたでーないとmix,Nano:kiyo:加茂桃歌,JiNG*da*LaW,bit,黒い海に紅く　～ Legendary Fish,6,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-2,つるぺったん。,なつみ:ちゃい:Kana,Silver Forest,bit,竹取飛翔　～ Lunatic Princess,7,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-2,ねこにゃんのうた Jazz style,Nano,JiNG*da*LaW,bit,死体旅行　～ Be of good cheer!,8,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-2,⑨destiny Acoustic Remix,Nano,流歌,bit,おてんば恋娘:ネイティブフェイス,9,博麗神社例大祭7
Silver Forest,東方電撃波動⑨ DISC-2,believe mo 無理ぽ,Nano,Silver Forest,bit,少女幻葬　～ Necro-Fantasy,10,博麗神社例大祭7
