circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Sound Bullet Hell,"CRIMSON BULLET HELL","Modification of fate","",,,,1,
Sound Bullet Hell,"CRIMSON BULLET HELL","locked heart","",,,,2,
Sound Bullet Hell,"CRIMSON BULLET HELL","ç ì¯","",,,,3,
Sound Bullet Hell,"CRIMSON BULLET HELL","geostationary","",,,,4,
Sound Bullet Hell,"CRIMSON BULLET HELL","Cranberry Trap","",,,,5,
Sound Bullet Hell,"CRIMSON BULLET HELL","Modification of fate(instrumental)",,,,,6,
Sound Bullet Hell,"CRIMSON BULLET HELL","locked heart(instrumental)",,,,,7,
Sound Bullet Hell,"CRIMSON BULLET HELL","ç ì¯(instrumental)",,,,,8,
Sound Bullet Hell,"CRIMSON BULLET HELL","geostationary(instrumental)",,,,,9,
Sound Bullet Hell,"CRIMSON BULLET HELL","Cranberry Trap(instrumental)",,,,,10,
