circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Sound Iemitsu,"Tri1[ObedienceLove]","DALKFLIGHT 14h23","",,,,1,
Sound Iemitsu,"Tri1[ObedienceLove]","FANTCY 18h13","",,,,2,
Sound Iemitsu,"Tri1[ObedienceLove]","STAHR 16h58","",,,,3,
Sound Iemitsu,"Tri1[ObedienceLove]","CLIMSON 06h27","",,,,4,
Sound Iemitsu,"Tri1[ObedienceLove]","ATSH 12h24","",,,,5,
Sound Iemitsu,"Tri1[ObedienceLove]","SATOLI 2h22","",,,,6,
Sound Iemitsu,"Tri1[ObedienceLove]","WicthSBss 2h22","",,,,7,
Sound Iemitsu,"Tri1[ObedienceLove]","WATELIMP 20h16","",,,,8,
Sound Iemitsu,"Tri1[ObedienceLove]","ARTOOLOVE 23h38","",,,,9,
Sound Iemitsu,"Tri1[ObedienceLove]","BOYAGE 00h09","",,,,10,
Sound Iemitsu,"Tri1[ObedienceLove]","ALIS 05h15","",,,,11,
