circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Sound Iemitsu,"Re8-B-","Child's gate","",,,,1,
Sound Iemitsu,"Re8-B-","劇的領域","",,,,2,
Sound Iemitsu,"Re8-B-","コードレス系キミ","",,,,3,
Sound Iemitsu,"Re8-B-","milk shake/0612","",,,,4,
Sound Iemitsu,"Re8-B-","無題ドキュメント","",,,,5,
Sound Iemitsu,"Re8-B-","3886","",,,,6,
Sound Iemitsu,"Re8-B-","影鬼-rmx-","",,,,7,
Sound Iemitsu,"Re8-B-","無題ドキュメント-rmx-","",,,,8,
Sound Iemitsu,"Re8-B-","飛行記録-KikuoRmx-","",,,,9,
Sound Iemitsu,"Re8-B-","Child's gate-Inst-","",,,,10,
Sound Iemitsu,"Re8-B-","劇的領域-Inst-","",,,,11,
Sound Iemitsu,"Re8-B-","コードレス系キミ-Inst-","",,,,12,
Sound Iemitsu,"Re8-B-","milk shake-Inst-","",,,,13,
Sound Iemitsu,"Re8-B-","無題ドキュメント-Inst-","",,,,14,
Sound Iemitsu,"Re8-B-","3886-Inst-","",,,,15,
