circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Sound./Ecriture,"Capriccio　～ 幻想卿綺想曲","少女幻想曲-DreamBattle-","",,,,1,
Sound./Ecriture,"Capriccio　～ 幻想卿綺想曲","上海紅茶館　～ Euroriental Cafe","",,,,2,
Sound./Ecriture,"Capriccio　～ 幻想卿綺想曲","ティアオイエツォン-透き通った夜に-","",,,,3,
Sound./Ecriture,"Capriccio　～ 幻想卿綺想曲","Orientale Prelude　～ Impromptu No.1 in D minor","",,,,4,
Sound./Ecriture,"Capriccio　～ 幻想卿綺想曲","Retrospective KYOTO BRASS","",,,,5,
Sound./Ecriture,"Capriccio　～ 幻想卿綺想曲","Luv-Coloured GiRL　～ 恋色マスタースパーク","",,,,6,
Sound./Ecriture,"Capriccio　～ 幻想卿綺想曲","夢想特急　～ Dream Express","",,,,7,
Sound./Ecriture,"Capriccio　～ 幻想卿綺想曲","[interlude]おてんば恋娘-あたいったら最強ね!","",,,,8,
Sound./Ecriture,"Capriccio　～ 幻想卿綺想曲","竹取飛翔-あともう少しだけお月見を・・・-","",,,,9,
Sound./Ecriture,"Capriccio　～ 幻想卿綺想曲","一筋の光明～粛然たる現世を征く～","",,,,10,
