circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Starsand,"星之幻想楽曲集2～まともにアレンジやりなさいよっ!!～ おまけCD","作者談 - はじめに","",,,,1,
Starsand,"星之幻想楽曲集2～まともにアレンジやりなさいよっ!!～ おまけCD","作者談 - Introduction","",,,,2,
Starsand,"星之幻想楽曲集2～まともにアレンジやりなさいよっ!!～ おまけCD","作者談 - 満月の夜を行く","",,,,3,
Starsand,"星之幻想楽曲集2～まともにアレンジやりなさいよっ!!～ おまけCD","作者談 - 舞う姿、風神が如く","",,,,4,
Starsand,"星之幻想楽曲集2～まともにアレンジやりなさいよっ!!～ おまけCD","作者談 - 星之幻想物語Ex","",,,,5,
Starsand,"星之幻想楽曲集2～まともにアレンジやりなさいよっ!!～ おまけCD","作者談 - ピアノ独奏曲「蛍火」～大きな蟲の為の～","",,,,6,
Starsand,"星之幻想楽曲集2～まともにアレンジやりなさいよっ!!～ おまけCD","作者談 - 決戦～DistorteD Purple～","",,,,7,
Starsand,"星之幻想楽曲集2～まともにアレンジやりなさいよっ!!～ おまけCD","作者談 - Subject:Master is rambunctious Girl!!!","",,,,8,
Starsand,"星之幻想楽曲集2～まともにアレンジやりなさいよっ!!～ おまけCD","作者談 - Lucky Harvester","",,,,9,
Starsand,"星之幻想楽曲集2～まともにアレンジやりなさいよっ!!～ おまけCD","作者談 - ちるのりあんいでぃおっと","",,,,10,
Starsand,"星之幻想楽曲集2～まともにアレンジやりなさいよっ!!～ おまけCD","作者談 - 博霊～スタイリッシュ巫女とイケメン亀～","",,,,11,
Starsand,"星之幻想楽曲集2～まともにアレンジやりなさいよっ!!～ おまけCD","作者談 - 風見幽香のFirst Date～ねぇ、蟲の妖怪さん～","",,,,12,
Starsand,"星之幻想楽曲集2～まともにアレンジやりなさいよっ!!～ おまけCD","おまけ楽曲 - 満月の夜をゆくEx","",,,,13,
Starsand,"星之幻想楽曲集2～まともにアレンジやりなさいよっ!!～ おまけCD","おまけ楽曲 - 東方風神録昔話～諏訪対戦～(仮)","",,,,14,
Starsand,"星之幻想楽曲集2～まともにアレンジやりなさいよっ!!～ おまけCD","おまけ楽曲 - おまけ収録楽曲解説","",,,,15,
Starsand,"星之幻想楽曲集2～まともにアレンジやりなさいよっ!!～ おまけCD","おまけ楽曲 - 秋は実らず葉は散り行く(序章朗読)","",,,,16,
