circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
signum/ii,Brighter Oath,Reckless De5tiny,黒崎朔夜,lapix,cittan*,運命のダークサイド,1,博麗神社例大祭10
signum/ii,Brighter Oath,Wind of Sorrow,ゆーな,Tomohiko Togashi:cittan*,cittan*,妖怪の山　～ Mysterious Mountain,2,博麗神社例大祭10
signum/ii,Brighter Oath,君の涙消えるまで(cittan* Remix),℃iel,cittan*,cittan*,厄神様の通り道　～ Dark Road,3,博麗神社例大祭10
signum/ii,Brighter Oath,リトルミラクル,結月そら,cittan*,cittan*,明日ハレの日、ケの昨日,4,博麗神社例大祭10
signum/ii,Brighter Oath,encounter with,ほたる,江口孝宏,海兎,フォールオブフォール　～ 秋めく滝,5,博麗神社例大祭10
signum/ii,Brighter Oath,Song for Every Innocence,佐野しいな,cittan*,cittan*,神さびた古戦場　～ Suwa Foughten Field,6,博麗神社例大祭10
signum/ii,Brighter Oath,Brighter Oath,めらみぽっぷ,cittan*,cittan*,ネイティブフェイス,7,博麗神社例大祭10
signum/ii,Brighter Oath,About A from 4,みちる,cittan*,cittan*,稲田姫様に叱られるから,8,博麗神社例大祭10
signum/ii,Brighter Oath,風凪～easterly wind～,三澤秋,江口孝宏,海兎,少女が見た日本の原風景,9,博麗神社例大祭10
signum/ii,Brighter Oath,影踏,Salita,江口孝宏,海兎,信仰は儚き人間の為に,10,博麗神社例大祭10
