circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","ゲームの世界に閉じ込められて","",,,,1,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","拠点 憩いの酒場で穏やかに","",,,,2,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","迷宮Ⅰ 享楽の夏","",,,,3,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","戦場 響け、始まりの戦音","",,,,4,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","祝杯 呑めや踊れや","",,,,5,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","情景 一方その頃、あの妖怪は","",,,,6,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","迷宮Ⅱ 悲哀の秋","",,,,7,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","情景 密かに、そして厳かに","",,,,8,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","戦場 越えるべき試練","",,,,9,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","情景 勝利の美酒に酔え","",,,,10,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","迷宮Ⅲ 憤怒の冬","",,,,11,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","情景 相剋","",,,,12,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","戦場 己が総てをこの一太刀に","",,,,13,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","迷宮Ⅳ 歓喜の春","",,,,14,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","戦場 幻葬舞踏","",,,,15,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","迷宮Ⅴ 心の宇宙","",,,,16,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","戦場 終焉の宴","",,,,17,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","迷宮Ⅵ 幻永の郷","",,,,18,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","戦場 激闘、再び","",,,,19,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","戦場 深淵に待つは最強の敵","",,,,20,
sound sepher,"さとりのダンジョン王国～The Heart Of Crossed Memory～ オリジナルサウンドトラック","わたしたちの冒険は終わった","",,,,21,
