circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","Help me, ERINNNNNN!!","",,,,1,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","六十年目の東方裁判　～ Fate of Sixty Years","",,,,2,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","遠野幻想物語","",,,,3,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","亡き王女の為のセプテット","",,,,4,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","ラクトガール　～ 少女密室","",,,,5,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","レトロスペクティブ京都","",,,,6,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","天狗が見ている　～ Black eyes","",,,,7,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","風神少女","",,,,8,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","上海紅茶館　～ Chinese Tea","",,,,9,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","天空の花の都","",,,,10,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","恋色マスタースパーク","",,,,11,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","遠野幻想物語","",,,,12,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","竹取飛翔～恋文～","",,,,13,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","鳥の詩","",,,,14,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","夏影","",,,,15,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","Super mario brothers","",,,,16,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","Super mario brothers3","",,,,17,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","Super mario world","",,,,18,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","Never Give up","",,,,19,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","安らぎの大地","",,,,20,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","FF6 ティナのテーマ","",,,,21,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","FF6 戦闘","",,,,22,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","FF6 セリスのテーマ","",,,,23,
TAMUSIC,"東方まんがまつり 音盤文々。Ⅱ","FF5 ビッグブリッジの死闘","",,,,24,
