circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
UI-70,"cross the Great Divide","永夜の報い","",,,,1,
UI-70,"cross the Great Divide","稲田姫様に叱られるから","",,,,2,
UI-70,"cross the Great Divide","夜雀の歌声","",,,,3,
UI-70,"cross the Great Divide","運命のダークサイド","",,,,4,
UI-70,"cross the Great Divide","ハルトマンの妖怪少女","",,,,5,
UI-70,"cross the Great Divide","プレインエイジア","",,,,6,
UI-70,"cross the Great Divide","少女さとり","",,,,7,
UI-70,"cross the Great Divide","明日ハレの日、ケの昨日","",,,,8,
UI-70,"cross the Great Divide","古きユアンシェン","",,,,9,
UI-70,"cross the Great Divide","佐渡の二ッ岩","",,,,10,
