circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Unity-Gain,"a Lack Unity Plastic...2","Openning 2","",,,,1,
Unity-Gain,"a Lack Unity Plastic...2","Irregular Pattern","",,,,2,
Unity-Gain,"a Lack Unity Plastic...2","Diremption 2 Union","",,,,3,
Unity-Gain,"a Lack Unity Plastic...2","Go easy on me","",,,,4,
Unity-Gain,"a Lack Unity Plastic...2","after the rain shower","",,,,5,
Unity-Gain,"a Lack Unity Plastic...2","Seren time, Comfit time","",,,,6,
Unity-Gain,"a Lack Unity Plastic...2","I hate your endless spell","",,,,7,
Unity-Gain,"a Lack Unity Plastic...2","Chords on C's","",,,,8,
Unity-Gain,"a Lack Unity Plastic...2","Riverside Tea Time","",,,,9,
Unity-Gain,"a Lack Unity Plastic...2","Bottle Flame","",,,,10,
Unity-Gain,"a Lack Unity Plastic...2","Swingin' Scat Street","",,,,11,
Unity-Gain,"a Lack Unity Plastic...2","Little Leaf Litter","",,,,12,
Unity-Gain,"a Lack Unity Plastic...2","Time Step Configuration","",,,,13,
Unity-Gain,"a Lack Unity Plastic...2","Septet pour une infante d?funte-Piano Solo-","",,,,14,
