circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
VAGUEDGE,"東方夢叶幻想日記","さくら舞う天空の都",,,,,1,
VAGUEDGE,"東方夢叶幻想日記","Unlimited your reaction!","",,,,2,
VAGUEDGE,"東方夢叶幻想日記","Agony of 88days","",,,,3,
VAGUEDGE,"東方夢叶幻想日記","緋の天、白の想い　～ Innocent will","",,,,4,
VAGUEDGE,"東方夢叶幻想日記","Eternal Presure",,,,,5,
VAGUEDGE,"東方夢叶幻想日記","Someday in the room",,,,,6,
VAGUEDGE,"東方夢叶幻想日記","SEVEN COLOR SHOOTING STAR","",,,,7,
VAGUEDGE,"東方夢叶幻想日記","Red-Breathy Notes in the Mind",,,,,8,
VAGUEDGE,"東方夢叶幻想日記","次発 ワタシ37号","",,,,9,
VAGUEDGE,"東方夢叶幻想日記","Unlimited your reaction!(Off Vocal)",,,,,10,
VAGUEDGE,"東方夢叶幻想日記","Agony of 88days(Off Vocal)",,,,,11,
VAGUEDGE,"東方夢叶幻想日記","緋の天、白の想い　～ Innocent will(Off Vocal)",,,,,12,
VAGUEDGE,"東方夢叶幻想日記","SEVEN COLOR SHOOTING STAR(Off Vocal)",,,,,13,
VAGUEDGE,"東方夢叶幻想日記","次発 ワタシ37号(Off Vocal)",,,,,14,
