circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
かも,"東方琳瑯華　～ entirety spell timbre. オリジナルサウンドトラック","東方琳瑯華 #2","",,,,1,
かも,"東方琳瑯華　～ entirety spell timbre. オリジナルサウンドトラック","囀る姥百合　～ XXX Talking","",,,,2,
かも,"東方琳瑯華　～ entirety spell timbre. オリジナルサウンドトラック","Innocent Lover #2","",,,,3,
かも,"東方琳瑯華　～ entirety spell timbre. オリジナルサウンドトラック","奇譚綺想曲　～ Capriccio #2","",,,,4,
かも,"東方琳瑯華　～ entirety spell timbre. オリジナルサウンドトラック","月夜の懐中時計 #2","",,,,5,
かも,"東方琳瑯華　～ entirety spell timbre. オリジナルサウンドトラック","野ざらし七魄","",,,,6,
かも,"東方琳瑯華　～ entirety spell timbre. オリジナルサウンドトラック","Good evening, Miss Tear...","",,,,7,
かも,"東方琳瑯華　～ entirety spell timbre. オリジナルサウンドトラック","全力兎競争","",,,,8,
かも,"東方琳瑯華　～ entirety spell timbre. オリジナルサウンドトラック","誘う彼岸花　～ XXX Calling","",,,,9,
かも,"東方琳瑯華　～ entirety spell timbre. オリジナルサウンドトラック","逆さ蝶桜　～ Life is Border","",,,,10,
かも,"東方琳瑯華　～ entirety spell timbre. オリジナルサウンドトラック","亡き王女の奏でるセプテット","",,,,11,
かも,"東方琳瑯華　～ entirety spell timbre. オリジナルサウンドトラック","躁と鬱の境界にあるリタリン","",,,,12,
かも,"東方琳瑯華　～ entirety spell timbre. オリジナルサウンドトラック","猿楽、猿真似、戯る芝居。","",,,,13,
かも,"東方琳瑯華　～ entirety spell timbre. オリジナルサウンドトラック","無限の仄華","",,,,14,
かも,"東方琳瑯華　～ entirety spell timbre. オリジナルサウンドトラック","インフォメーションウォー","",,,,15,
かも,"東方琳瑯華　～ entirety spell timbre. オリジナルサウンドトラック","無限の琳音[未使用曲]","",,,,16,
