circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
こなぐすり,東方漢方薬,守矢の夜蛙,,Cerotte,,ネイティブフェイス,1,コミックマーケット73
こなぐすり,東方漢方薬,WGL-昆蟲大疾走-,,nekutsu,,蠢々秋月　～ Mooned Insect,2,コミックマーケット73
こなぐすり,東方漢方薬,紅へと続く空,,Cerotte,,上海紅茶館　～ Chinese Tea,3,コミックマーケット73
こなぐすり,東方漢方薬,巷に霧雨の降るが如く,,Miyaten,,恋色マスタースパーク,4,コミックマーケット73
こなぐすり,東方漢方薬,恋色魔法火花,,Cerotte,,恋色マジック:恋色マスタースパーク,5,コミックマーケット73
こなぐすり,東方漢方薬,U.N.オーエンの為のセプテット,,nekutsu,,亡き王女の為のセプテット:U.N.オーエンは彼女なのか？,6,コミックマーケット73
こなぐすり,東方漢方薬,弐拾五萬九千弐百秒之遊戯,,Cerotte,,竹取飛翔　～ Lunatic Princess:千年幻想郷　～ History of the Moon:プレインエイジア:狂気の瞳　～ Invisible Full Moon:蠢々秋月　～ Mooned Insect:月まで届け、不死の煙,7,コミックマーケット73
こなぐすり,東方漢方薬,end of winter,,nekutsu,,クリスタライズシルバー,8,コミックマーケット73
こなぐすり,東方漢方薬,大人っぽい魔理沙(ry,,Miyaten,,人形裁判　～ 人の形弄びし少女,9,コミックマーケット73
こなぐすり,東方漢方薬,大人っぽい魔理沙(ry(Instrumetal),Miyaten,Miyaten,,人形裁判　～ 人の形弄びし少女,10,コミックマーケット73
