circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
すたぢお・ぶるーふる,"東方三和音","GB版 ネイティブフェイス","",,,,1,
すたぢお・ぶるーふる,"東方三和音","空に舞う","",,,,2,
すたぢお・ぶるーふる,"東方三和音","時代少女とハイカラゲーム機","",,,,3,
すたぢお・ぶるーふる,"東方三和音","StrawberryCrisis!! GameBoy!!","",,,,4,
すたぢお・ぶるーふる,"東方三和音","GB版 東の国の眠らない夜","",,,,5,
すたぢお・ぶるーふる,"東方三和音","万年置ゲームボーイにご注意を","",,,,6,
すたぢお・ぶるーふる,"東方三和音","人型裁判","",,,,7,
すたぢお・ぶるーふる,"東方三和音","信仰は人の夢の為に","",,,,8,
すたぢお・ぶるーふる,"東方三和音","妖魔、夜を、行く。","",,,,9,
すたぢお・ぶるーふる,"東方三和音","Necro Fantasm Zoooone!","",,,,10,
すたぢお・ぶるーふる,"東方三和音","東方三和音","",,,,11,
すたぢお・ぶるーふる,"東方三和音","「妖魔、夜を、行く。」の一番最初のデータが消えるまでの2和音で録音したもの。","",,,,12,
すたぢお・ぶるーふる,"東方三和音","青色マスタァスパァクッ!","",,,,13,
