circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
でんしほたる,"東方鼠王国","夢と魔法の国, 東方ナズリーランド","",,,,1,
でんしほたる,"東方鼠王国","すわすわすわっひ","",,,,2,
でんしほたる,"東方鼠王国","姉妹は転調が大好きのようです","",,,,3,
でんしほたる,"東方鼠王国","ちっておいしいちるちるちるの","",,,,4,
でんしほたる,"東方鼠王国","ふたりはLoveDeath!!","",,,,5,
でんしほたる,"東方鼠王国","鼠の国のアリス","",,,,6,
でんしほたる,"東方鼠王国","イースタンランド・シューティングギャラリー","",,,,7,
でんしほたる,"東方鼠王国","共産主義による新世界!　～ It's a communist world.","",,,,8,
でんしほたる,"東方鼠王国","ビッグサンダー・パラソルマウンテン","",,,,9,
でんしほたる,"東方鼠王国","レジェンド・オブ・モリヤ","",,,,10,
