circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
はちみつくまさん,"東方初球蹴 DISC-1","アイキャッチ","",,,,1,
はちみつくまさん,"東方初球蹴 DISC-1","東方サッカーオープニング","",,,,2,
はちみつくまさん,"東方初球蹴 DISC-1","試合の合間に","",,,,3,
はちみつくまさん,"東方初球蹴 DISC-1","よし、みんなきけ","",,,,4,
はちみつくまさん,"東方初球蹴 DISC-1","選手入場","",,,,5,
はちみつくまさん,"東方初球蹴 DISC-1","ライバル登場","",,,,6,
はちみつくまさん,"東方初球蹴 DISC-1","萃香くんのテーマ","",,,,7,
はちみつくまさん,"東方初球蹴 DISC-1","絶望","",,,,8,
はちみつくまさん,"東方初球蹴 DISC-1","深夜の修行","",,,,9,
はちみつくまさん,"東方初球蹴 DISC-1","霖之助のテーマ","",,,,10,
はちみつくまさん,"東方初球蹴 DISC-1","博麗チーム","",,,,11,
はちみつくまさん,"東方初球蹴 DISC-1","博麗カップ","",,,,12,
はちみつくまさん,"東方初球蹴 DISC-1","試合終了5分前","",,,,13,
はちみつくまさん,"東方初球蹴 DISC-1","霧雨恋色マジック","",,,,14,
はちみつくまさん,"東方初球蹴 DISC-1","紅魔ルナダイヤルズ","",,,,15,
はちみつくまさん,"東方初球蹴 DISC-1","冥界カップ","",,,,16,
はちみつくまさん,"東方初球蹴 DISC-1","西行寺快食友の会","",,,,17,
はちみつくまさん,"東方初球蹴 DISC-1","博麗連合","",,,,18,
はちみつくまさん,"東方初球蹴 DISC-1","紅魔カップ","",,,,19,
はちみつくまさん,"東方初球蹴 DISC-1","紅魔スカーレットムーンズ","",,,,20,
はちみつくまさん,"東方初球蹴 DISC-1","永遠カップ","",,,,21,
はちみつくまさん,"東方初球蹴 DISC-1","永遠亭ルナティックス","",,,,22,
はちみつくまさん,"東方初球蹴 DISC-1","ラストミーティング","",,,,23,
はちみつくまさん,"東方初球蹴 DISC-1","幻想郷連合","",,,,24,
はちみつくまさん,"東方初球蹴 DISC-1","エンディング","",,,,25,
はちみつくまさん,"東方初球蹴 DISC-1","ピンチ!","",,,,26,
はちみつくまさん,"東方初球蹴 DISC-1","得点!","",,,,27,
はちみつくまさん,"東方初球蹴 DISC-1","失点!","",,,,28,
はちみつくまさん,"東方初球蹴 DISC-1","なにィ!","",,,,29,
はちみつくまさん,"東方初球蹴 DISC-1","(未)PK戦","",,,,30,
はちみつくまさん,"東方初球蹴 DISC-1","(未)2:ジャパンカップ","",,,,31,
はちみつくまさん,"東方初球蹴 DISC-1","(未)2:全日本","",,,,32,
はちみつくまさん,"東方初球蹴 DISC-1","(未)2:世界予選","",,,,33,
はちみつくまさん,"東方初球蹴 DISC-1","(未)2:ドイツ","",,,,34,
はちみつくまさん,"東方初球蹴 DISC-1","(未)3:つばさとうじょう","",,,,35,
はちみつくまさん,"東方初球蹴 DISC-1","(未)3:ふあん せまりくるドイツのかげ","",,,,36,
はちみつくまさん,"東方初球蹴 DISC-1","(未)3:しあいまえBGM その1","",,,,37,
はちみつくまさん,"東方初球蹴 DISC-1","(未)3:ハーフタイム","",,,,38,
はちみつくまさん,"東方初球蹴 DISC-1","(未)3:サンパウロFC","",,,,39,
はちみつくまさん,"東方初球蹴 DISC-1","(未)3:てきチーム えんせいへん","",,,,40,
はちみつくまさん,"東方初球蹴 DISC-1","(未)3:ぜんにほんユース 0","",,,,41,
はちみつくまさん,"東方初球蹴 DISC-1","(未)3:てきチーム よせんへん","",,,,42,
はちみつくまさん,"東方初球蹴 DISC-1","(未)3:てきチーム ほんせんへん","",,,,43,
はちみつくまさん,"東方初球蹴 DISC-1","(未)3:ぜんにほんユース けっしょう","",,,,44,
はちみつくまさん,"東方初球蹴 DISC-1","(未)3:てきチーム アルゼンチン","",,,,45,
はちみつくまさん,"東方初球蹴 DISC-1","(未)3:てきチーム ブラジル","",,,,46,
はちみつくまさん,"東方初球蹴 DISC-1","(未)4:サンパウロ本戦","",,,,47,
はちみつくまさん,"東方初球蹴 DISC-1","(未)4:オランダ","",,,,48,
はちみつくまさん,"東方初球蹴 DISC-1","(未)5:全日本遠征","",,,,49,
はちみつくまさん,"東方初球蹴 DISC-1","Bonus Track","",,,,50,
はちみつくまさん,"東方初球蹴 DISC-2","夢想封印","",,,,1,
はちみつくまさん,"東方初球蹴 DISC-2","ドールズウォー","",,,,2,
はちみつくまさん,"東方初球蹴 DISC-2","コンチェルト・グロッソ","",,,,3,
はちみつくまさん,"東方初球蹴 DISC-2","マスタースパーク","",,,,4,
はちみつくまさん,"東方初球蹴 DISC-2","ダブルスパーク","",,,,5,
はちみつくまさん,"東方初球蹴 DISC-2","殺人ドール","",,,,6,
はちみつくまさん,"東方初球蹴 DISC-2","ルナティックレッドアイズ","",,,,7,
はちみつくまさん,"東方初球蹴 DISC-2","飛翔毘沙門天","",,,,8,
はちみつくまさん,"東方初球蹴 DISC-2","顔面アイシクルフォール","",,,,9,
はちみつくまさん,"東方初球蹴 DISC-2","賢者の石","",,,,10,
