circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
はちみつれもん,Rainbow Spell,幻想テレグノシス,,あいざわ,,少女綺想曲　～ Capriccio:少女綺想曲　～ Dream Battle:春色小径　～ Colorful Path,1,博麗神社例大祭9
はちみつれもん,Rainbow Spell,A Blossom Day,悠花,あいざわ,あいざわ,死霊の夜桜:ゴーストリード:東方妖々夢　～ Ancient Temple:広有射怪鳥事　～ Till When?:アルティメットトゥルース,2,博麗神社例大祭9
はちみつれもん,Rainbow Spell,アーバンガール,ヒスイリカ,CleanTears:あいざわ,あいざわ,Romantic Children:不思議の国のアリス:人形裁判　～ 人の形弄びし少女,3,博麗神社例大祭9
はちみつれもん,Rainbow Spell,Lost Ark,ゆーな,CleanTears:あいざわ,あいざわ,天鳥船神社,4,博麗神社例大祭9
はちみつれもん,Rainbow Spell,フェアリィ・メロディ,佳織みちる,あいざわ,海兎,妖精大戦争　～ Fairy Wars,5,博麗神社例大祭9
はちみつれもん,Rainbow Spell,花　～ fleur Rouge,悠花,あいざわ,あいざわ,幽雅に咲かせ、墨染の桜　～ Border of Life:ネクロファンタジア,6,博麗神社例大祭9
はちみつれもん,Rainbow Spell,NOW&FOREVER,Pyn,CleanTears:あいざわ,海兎,ヴワル魔法図書館:ラクトガール　～ 少女密室,7,博麗神社例大祭9
はちみつれもん,Rainbow Spell,白風アケルアキエース,Souwer,司/19G,司/19G,フォールオブフォール　～ 秋めく滝,8,博麗神社例大祭9
はちみつれもん,Rainbow Spell,リベリオン,,CleanTears,,妖怪裏参道,9,博麗神社例大祭9
はちみつれもん,Rainbow Spell,Magic Carnival,凛,あいざわ,あいざわ,魔法少女達の百年祭:ブクレシュティの人形師:恋色マスタースパーク:メイガスナイト,10,博麗神社例大祭9
