circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
はちみつれもん,Dear Story,a power,中恵光城,あいざわ,あいざわ,御伽の国の鬼が島　～ Missing Power:砕月,1,コミックマーケット83
はちみつれもん,Dear Story,素敵な夜に集いましょ,佳織みちる,あいざわ,あいざわ,素敵な墓場で暮しましょ,2,コミックマーケット83
はちみつれもん,Dear Story,Magic Carnival,凛,あいざわ,あいざわ,魔法少女達の百年祭:ブクレシュティの人形師:恋色マスタースパーク:メイガスナイト,3,コミックマーケット83
はちみつれもん,Dear Story,神話創世,ゆーな,CleanTears,青時,大神神話伝,4,コミックマーケット83
はちみつれもん,Dear Story,True Desire,凛,あいざわ,黒岩サトシ,聖徳伝説　～ True Administrator:小さな欲望の星空,5,コミックマーケット83
はちみつれもん,Dear Story,A Blossom Day,悠花,あいざわ,あいざわ,死霊の夜桜:ゴーストリード:東方妖々夢　～ Ancient Temple:広有射怪鳥事　～ Till When?:アルティメットトゥルース,6,コミックマーケット83
はちみつれもん,Dear Story,月夜のサクラ,中恵光城,あいざわ,海兎:あいざわ,幽雅に咲かせ、墨染の桜　～ Border of Life:さくらさくら　～ Japanize Dream...,7,コミックマーケット83
はちみつれもん,Dear Story,紅の口元,ゆーな,CleanTears,CleanTears,上海紅茶館　～ Chinese Tea,8,コミックマーケット83
はちみつれもん,Dear Story,White Noise,Pyn:琴音,CleanTears,海兎,亡き王女の為のセプテット:ツェペシュの幼き末裔,9,コミックマーケット83
はちみつれもん,Dear Story,笑顔のままで,ゆーな,あいざわ,あいざわ,メイドと血の懐中時計:月時計　～ ルナ・ダイアル,10,コミックマーケット83
はちみつれもん,Dear Story,千里香,バル,平茸:あいざわ,aoma,エクステンドアッシュ　～ 蓬莱人,11,コミックマーケット83
はちみつれもん,Dear Story,Two of us,ゆーな:悠花,あいざわ:CleanTears,海兎:あいざわ,二色蓮花蝶　～ Red and White:星の器　～ Casket of Star,12,コミックマーケット83
