circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
はにーぽけっと,恋綴里-第六話-,cocoro no oto,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),亡失のエモーション,1,博麗神社例大祭12
はにーぽけっと,恋綴里-第六話-,Poker Face,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),亡失のエモーション,2,博麗神社例大祭12
はにーぽけっと,恋綴里-第六話-,月見るウサギ,あき(はにーぽけっと),はにーぽけっと,やす,お宇佐さまの素い幡:シンデレラケージ　～ Kagome-Kagome,3,博麗神社例大祭12
はにーぽけっと,恋綴里-第六話-,モノクロオセロ,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),六十年目の東方裁判　～ Fate of Sixty Years,4,博麗神社例大祭12
はにーぽけっと,恋綴里-第六話-,綴人-tsuzuribito-,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),阿礼の子供,5,博麗神社例大祭12
はにーぽけっと,恋綴里-第六話-,ちいさな夢の実,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),稲田姫様に叱られるから,6,博麗神社例大祭12
はにーぽけっと,恋綴里-第六話-,Priserved flowers,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),今昔幻想郷　～ Flower Land:桜花之恋塚　～ Japanese Flower:眠れる恐怖　～ Sleeping Terror:幽夢　～ Inanimate Dream,7,博麗神社例大祭12
はにーぽけっと,恋綴里-第六話-,臆病フィルター,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),柳の下のデュラハン:不可能弾幕には反則を,8,博麗神社例大祭12
はにーぽけっと,恋綴里-第六話-,Sweet Jealousy,あき(はにーぽけっと),はにーぽけっと,やす,緑眼のジェラシー:渡る者の途絶えた橋,9,博麗神社例大祭12
はにーぽけっと,恋綴里-第六話-,其のスキマ,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),ネクロファンタジア,10,博麗神社例大祭12
はにーぽけっと,恋綴里-第六話-,深愛,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),魔術師メリー:幻想の永遠祭:月の妖鳥、化猫の幻,11,博麗神社例大祭12
