circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
まさかど☆くらいしすっ!,"阿求にズキュゥゥゥン","夜のダンスホールを舞う","",,,,1,
まさかど☆くらいしすっ!,"阿求にズキュゥゥゥン","loopy","",,,,2,
まさかど☆くらいしすっ!,"阿求にズキュゥゥゥン","阿○正伝","",,,,3,
まさかど☆くらいしすっ!,"阿求にズキュゥゥゥン","じゃぱに～ずさ～が!","",,,,4,
まさかど☆くらいしすっ!,"阿求にズキュゥゥゥン","KIOKU","",,,,5,
まさかど☆くらいしすっ!,"阿求にズキュゥゥゥン","刹那の時まで","",,,,6,
まさかど☆くらいしすっ!,"阿求にズキュゥゥゥン","阿礼のペンフレンド","",,,,7,
まさかど☆くらいしすっ!,"阿求にズキュゥゥゥン","阿求の慌ただしくも充実した一日","",,,,8,
まさかど☆くらいしすっ!,"阿求にズキュゥゥゥン","求代目の冒険譚","",,,,9,
まさかど☆くらいしすっ!,"阿求にズキュゥゥゥン","JAPANESE・SAGA","",,,,10,
まさかど☆くらいしすっ!,"阿求にズキュゥゥゥン","夜の鳩山を飛んだら最後・・・","",,,,11,
まさかど☆くらいしすっ!,"阿求にズキュゥゥゥン","記憶の終焉","",,,,12,
