circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,封印されし神々,,まらしぃ,,封印されし神々,1,博麗神社例大祭7
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,人恋し神様 Romantic Fall,,まらしぃ,,人恋し神様　～ Romantic Fall,2,博麗神社例大祭7
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,稲田姫様に叱られるから,,まらしぃ,,稲田姫様に叱られるから,3,博麗神社例大祭7
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,厄神様の通り道 Dark Road,,まらしぃ,,厄神様の通り道　～ Dark Road,4,博麗神社例大祭7
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,運命のダークサイド,,まらしぃ,,運命のダークサイド,5,博麗神社例大祭7
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,神々が恋した幻想郷,,まらしぃ,,神々が恋した幻想郷,6,博麗神社例大祭7
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,芥川龍之介の河童 Candid Friend,,まらしぃ,,芥川龍之介の河童　～ Candid Friend,7,博麗神社例大祭7
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,フォールオブフォール 秋めく滝,,まらしぃ,,フォールオブフォール　～ 秋めく滝,8,博麗神社例大祭7
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,妖怪の山 Mysterious Mountain,,まらしぃ,,妖怪の山　～ Mysterious Mountain,9,博麗神社例大祭7
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,少女が見た日本の原風景,,まらしぃ,,少女が見た日本の原風景,10,博麗神社例大祭7
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,信仰は儚き人間の為に,,まらしぃ,,信仰は儚き人間の為に,11,博麗神社例大祭7
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,御柱の墓場 Grave of Being,,まらしぃ,,御柱の墓場　～ Grave of Being,12,博麗神社例大祭7
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,神さびた古戦場 Suwa Foughten Field,,まらしぃ,,神さびた古戦場　～ Suwa Foughten Field,13,博麗神社例大祭7
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,明日ハレの日、ケの昨日,,まらしぃ,,明日ハレの日、ケの昨日,14,博麗神社例大祭7
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,ネイティブフェイス,,まらしぃ,,ネイティブフェイス,15,博麗神社例大祭7
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,麓の神社,,まらしぃ,,麓の神社,16,博麗神社例大祭7
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,神は恵みの雨を降らす Sylphid Dream,,まらしぃ,,神は恵みの雨を降らす　～ Sylphid Dream,17,博麗神社例大祭7
まらしぃ,幻想遊戯<風>　～ Museum of Marasy,プレイヤーズスコア,,まらしぃ,,プレイヤーズスコア:東方風神録,18,博麗神社例大祭7
