circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
アドレナ義塾,東方SOP,序章,,ジュクチョー,,妖々夢　～ Snow or Cherry Petal,1,博麗神社例大祭8
アドレナ義塾,東方SOP,D FOREST,,ジュクチョー,,遠野幻想物語,2,博麗神社例大祭8
アドレナ義塾,東方SOP,ブクレシュティの人形師,,ジュクチョー,,ブクレシュティの人形師,3,博麗神社例大祭8
アドレナ義塾,東方SOP,人形裁判,,ジュクチョー,,人形裁判　～ 人の形弄びし少女,4,博麗神社例大祭8
アドレナ義塾,東方SOP,空へ～Pure White～,ビートまりお,ジュクチョー,ジュクチョー:ムッシュ☆ミドルソン,天空の花の都,5,博麗神社例大祭8
アドレナ義塾,東方SOP,激走あんさんぶる,,COOL&CREATE,,幽霊楽団　～ Phantom Ensemble,6,博麗神社例大祭8
アドレナ義塾,東方SOP,東方妖々夢～熱血編～,ビートまりお,石鹸屋,hellnian,東方妖々夢　～ Ancient Temple,7,博麗神社例大祭8
アドレナ義塾,東方SOP,春に包まれて,ビートまりお,ジュクチョー,ムッシュ☆ミドルソン,広有射怪鳥事　～ Till When?,8,博麗神社例大祭8
アドレナ義塾,東方SOP,墨染の八分咲,,ジュクチョー,,幽雅に咲かせ、墨染の桜　～ Border of Life:ボーダーオブライフ,9,博麗神社例大祭8
アドレナ義塾,東方SOP,メタルファンタジア,,ジュクチョー,,ネクロファンタジア,10,博麗神社例大祭8
