circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
クロックタイムアナグラム,"Scarlet Node","ラインアウト","",,,,1,
クロックタイムアナグラム,"Scarlet Node","咎人の地獄","",,,,2,
クロックタイムアナグラム,"Scarlet Node","投影感、空に映して","",,,,3,
クロックタイムアナグラム,"Scarlet Node","ニジガカカル","",,,,4,
クロックタイムアナグラム,"Scarlet Node","未開の墨染桜","",,,,5,
クロックタイムアナグラム,"Scarlet Node","何も無い迷い家","",,,,6,
クロックタイムアナグラム,"Scarlet Node","捧げる音色","",,,,7,
クロックタイムアナグラム,"Scarlet Node","途絶える","",,,,8,
クロックタイムアナグラム,"Scarlet Node","ソリティア","",,,,9,
クロックタイムアナグラム,"Scarlet Node","儚き魂の春の夢","",,,,10,
