circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
ジェリコの法則,Insane Habituation,Intro,,Jerico,,オリジナル,1,コミックマーケット86
ジェリコの法則,Insane Habituation,Insane Asia,,Jerico,,プレインエイジア,2,コミックマーケット86
ジェリコの法則,Insane Habituation,Lord of Foul,,Jerico,,反則の狼煙を上げろ,3,コミックマーケット86
ジェリコの法則,Insane Habituation,Red Moon Orchestra,,Jerico,,亡き王女の為のセプテット,4,コミックマーケット86
ジェリコの法則,Insane Habituation,Bad Fortune Sign,,Jerico,,厄神様の通り道　～ Dark Road,5,コミックマーケット86
ジェリコの法則,Insane Habituation,Judgment,,Jerico,,人形裁判　～ 人の形弄びし少女,6,コミックマーケット86
ジェリコの法則,Insane Habituation,Test Slave,,Jerico,,メイガスナイト,7,コミックマーケット86
ジェリコの法則,Insane Habituation,Satoritan-Go,,Jerico,,少女さとり　～ 3rd eye,8,コミックマーケット86
ジェリコの法則,Insane Habituation,Clavinative,,Jerico,,ネイティブフェイス,9,コミックマーケット86
ジェリコの法則,Insane Habituation,Curtain-of-fire Poisoning,,Jerico,,不可能弾幕には反則を,10,コミックマーケット86
ジェリコの法則,Insane Habituation,Mist of London,,Jerico,,ミストレイク,11,コミックマーケット86
ジェリコの法則,Insane Habituation,Extream Ego,,Jerico,,ハルトマンの妖怪少女,12,コミックマーケット86
ジェリコの法則,Insane Habituation,Outro ～ A red dreamy state of mind,,Jerico,,紅楼　～ Eastern Dream...,13,コミックマーケット86
ジェリコの法則,Insane Habituation,Kishinjou set,,Jerico,,リバースイデオロギー,14,コミックマーケット86
