circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
ブラックオアホワイト,"黒白無酔録","歪み無いストレイト=ラン","",,,,1,
ブラックオアホワイト,"黒白無酔録","ここから始まるシーケンス=フレイズ","",,,,2,
ブラックオアホワイト,"黒白無酔録","SuperSonic Sentence","",,,,3,
ブラックオアホワイト,"黒白無酔録","フォーリン ×4 フォール","",,,,4,
ブラックオアホワイト,"黒白無酔録","さあ幻夜よ、返答や如何に","",,,,5,
ブラックオアホワイト,"黒白無酔録","黒い加速容器","",,,,6,
ブラックオアホワイト,"黒白無酔録","binal strike","",,,,7,
ブラックオアホワイト,"黒白無酔録","全方位突発終了型穴埋逆鱗装置","",,,,8,
ブラックオアホワイト,"黒白無酔録","迷い有るノット=フェイド=アウト","",,,,9,
ブラックオアホワイト,"黒白無酔録","超電動黒白人形型魔操合体玩具(全自動黒白放電型霧雨絶頂装置改)","",,,,10,
