circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
ユウノウミ,ENCYCLOPEDIA <魔> magical beings,don't break up,愛原佑季,かめりあ,夕野ヨシミ,メイガスナイト:Dim. Dream,1,博麗神社例大祭9
ユウノウミ,ENCYCLOPEDIA <魔> magical beings,candy stripe,あゆ,Party.,愛実,プラスチックマインド:the Grimoire of Alice,2,博麗神社例大祭9
ユウノウミ,ENCYCLOPEDIA <魔> magical beings,goddess regina,藤原鞠菜,かめりあ,夕野ヨシミ,世界の果て　～ World's End:神話幻想　～ Infinite Being,3,博麗神社例大祭9
ユウノウミ,ENCYCLOPEDIA <魔> magical beings,cherry lip patch,岩杉夏,Tetu,夕野ヨシミ,ヴワル魔法図書館:ラクトガール　～ 少女密室,4,博麗神社例大祭9
ユウノウミ,ENCYCLOPEDIA <魔> magical beings,pray on hard,Dummy,Tetu,夕野ヨシミ,法界の火:感情の摩天楼　～ Cosmic Mind,5,博麗神社例大祭9
ユウノウミ,ENCYCLOPEDIA <魔> magical beings,distance away,高井さん,void,夕野ヨシミ,Reincarnation:Complete Darkness,6,博麗神社例大祭9
ユウノウミ,ENCYCLOPEDIA <魔> magical beings,don't break up(off vocal version),,かめりあ,,メイガスナイト:Dim. Dream,7,博麗神社例大祭9
ユウノウミ,ENCYCLOPEDIA <魔> magical beings,candy stripe(off vocal version),,Party.,,プラスチックマインド:the Grimoire of Alice,8,博麗神社例大祭9
ユウノウミ,ENCYCLOPEDIA <魔> magical beings,goddess regina(off vocal version),,かめりあ,,世界の果て　～ World's End:神話幻想　～ Infinite Being,9,博麗神社例大祭9
ユウノウミ,ENCYCLOPEDIA <魔> magical beings,cherry lip patch(off vocal version),,Tetu,,ヴワル魔法図書館:ラクトガール　～ 少女密室,10,博麗神社例大祭9
ユウノウミ,ENCYCLOPEDIA <魔> magical beings,pray on hard(off vocal version),,Tetu,,法界の火:感情の摩天楼　～ Cosmic Mind,11,博麗神社例大祭9
ユウノウミ,ENCYCLOPEDIA <魔> magical beings,distance away(off vocal version),,void,,Reincarnation:Complete Darkness,12,博麗神社例大祭9
