circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
ユウノウミ,東方ENCYCLOPEDIA<妖>,windy dawn,山本椛,void,夕野ヨシミ,ネクロファンタジア:夜が降りてくる　～ Evening Star,1,コミックマーケット82
ユウノウミ,東方ENCYCLOPEDIA<妖>,determination,イザベル,KEIGO KANZAKI,夕野ヨシミ,上海紅茶館　～ Chinese Tea:明治十七年の上海アリス,2,コミックマーケット82
ユウノウミ,東方ENCYCLOPEDIA<妖>,only this summer,愛原佑季,Tetu,夕野ヨシミ,今昔幻想郷　～ Flower Land:花は幻想のままに,3,コミックマーケット82
ユウノウミ,東方ENCYCLOPEDIA<妖>,cloud of ruin,あゆ:coda,t+pazolite,夕野ヨシミ,スカイルーイン,4,コミックマーケット82
ユウノウミ,東方ENCYCLOPEDIA<妖>,reason for living,藤原鞠菜,Party.,夕野ヨシミ,妖怪寺へようこそ:門前の妖怪小娘,5,コミックマーケット82
ユウノウミ,東方ENCYCLOPEDIA<妖>,be faithful to,愛原千尋:神波千尋,かめりあ,夕野ヨシミ,少女さとり　～ 3rd eye:ハルトマンの妖怪少女,6,コミックマーケット82
ユウノウミ,東方ENCYCLOPEDIA<妖>,windy dawn(off vocal version),,void,,ネクロファンタジア:夜が降りてくる　～ Evening Star,7,コミックマーケット82
ユウノウミ,東方ENCYCLOPEDIA<妖>,determination(off vocal version),,KEIGO KANZAKI,,上海紅茶館　～ Chinese Tea:明治十七年の上海アリス,8,コミックマーケット82
ユウノウミ,東方ENCYCLOPEDIA<妖>,only this summer(off vocal version),,Tetu,,今昔幻想郷　～ Flower Land:花は幻想のままに,9,コミックマーケット82
ユウノウミ,東方ENCYCLOPEDIA<妖>,cloud of ruin(off vocal version),,t+pazolite,,スカイルーイン,10,コミックマーケット82
ユウノウミ,東方ENCYCLOPEDIA<妖>,reason for living(off vocal version),,Party.,,妖怪寺へようこそ:門前の妖怪小娘,11,コミックマーケット82
ユウノウミ,東方ENCYCLOPEDIA<妖>,be faithful to(off vocal version),,かめりあ,,少女さとり　～ 3rd eye:ハルトマンの妖怪少女,12,コミックマーケット82
