circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
俺++(Includeore),"標-MILESTONE-","Lucent Sphere(Noble Wolf's Vocal Version)","",,,,1,
俺++(Includeore),"標-MILESTONE-","innocence","",,,,2,
俺++(Includeore),"標-MILESTONE-","Leap of Faith","",,,,3,
俺++(Includeore),"標-MILESTONE-","DivinE","",,,,4,
俺++(Includeore),"標-MILESTONE-","In Sight Girl","",,,,5,
俺++(Includeore),"標-MILESTONE-","selfish cage","",,,,6,
俺++(Includeore),"標-MILESTONE-","S.H.A.M.B.A.L.A.H","",,,,7,
俺++(Includeore),"標-MILESTONE-","slushy poetry feat.妖狐","",,,,8,
俺++(Includeore),"標-MILESTONE-","Yesterday, Tomorrow.","",,,,9,
俺++(Includeore),"標-MILESTONE-","KAWAZU-ISHI(DEE!'s Mishaguji Kagura Mix)","",,,,10,
