circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
博麗神社社務所,幻想郷演奏符,孤独月,senya,Iceon,senya,U.N.オーエンは彼女なのか？,1,博麗神社例大祭SP
博麗神社社務所,幻想郷演奏符,ネクロファンタジア,Cherose:fi-fy:723,PHEVOTT,黒岩サトシ,ネクロファンタジア,2,博麗神社例大祭SP
博麗神社社務所,幻想郷演奏符,感情ケミストリー,senya,Autobahn,かませ虎,感情の摩天楼　～ Cosmic Mind,3,博麗神社例大祭SP
博麗神社社務所,幻想郷演奏符,Two of us,witch:Jumpei,しゃばだば,しゃばだば,亡き王女の為のセプテット,4,博麗神社例大祭SP
博麗神社社務所,幻想郷演奏符,零れ桜,senya,Iceon,かませ虎,幽雅に咲かせ、墨染の桜　～ Border of Life,5,博麗神社例大祭SP
博麗神社社務所,幻想郷演奏符,幻想のサテライト,ランコ,コンプ,ランコの姉,天空のグリニッジ,6,博麗神社例大祭SP
博麗神社社務所,幻想郷演奏符,加速する恋は誰も止められない,senya,でいたらぼっち,かませ虎,少女さとり　～ 3rd eye,7,博麗神社例大祭SP
博麗神社社務所,幻想郷演奏符,永遠の刻,そくる,彩,みつの,シンデレラケージ　～ Kagome-Kagome,8,博麗神社例大祭SP
博麗神社社務所,幻想郷演奏符,ダフネ幻想郷-Duet Version-,senya,でいたらぼっち,かませ虎,ネクロファンタジア,9,博麗神社例大祭SP
博麗神社社務所,幻想郷演奏符,色は匂へど散りぬるを-Short Version-,senya,Iceon,かませ虎,神々が恋した幻想郷,10,博麗神社例大祭SP
