circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
夕焼けコンテナ。,Yorukaze Logic,landscape,,村瀬悠太,,恋色マスタースパーク,1,博麗神社例大祭9
夕焼けコンテナ。,Yorukaze Logic,それはとても星が奇麗な夜でした,,ばんし,,千年幻想郷　～ History of the Moon,2,博麗神社例大祭9
夕焼けコンテナ。,Yorukaze Logic,みえないこころ,,村瀬悠太,,もう歌しか聞こえない,3,博麗神社例大祭9
夕焼けコンテナ。,Yorukaze Logic,ほおずき見たいな!見に行こう!,PETAKO,村瀬悠太,多夢楽せうゆ,ほおずきみたいに紅い魂,4,博麗神社例大祭9
夕焼けコンテナ。,Yorukaze Logic,雪風、踊るようにして,,村瀬悠太,,無何有の郷　～ Deep Mountain,5,博麗神社例大祭9
夕焼けコンテナ。,Yorukaze Logic,夜を風に舞うは墨染の桜,,kanmax,,幽雅に咲かせ、墨染の桜　～ Border of Life,6,博麗神社例大祭9
夕焼けコンテナ。,Yorukaze Logic,Time Crisis,,村瀬悠太,,Strawberry Crisis!!,7,博麗神社例大祭9
夕焼けコンテナ。,Yorukaze Logic,サクラメモリ。,,村瀬悠太,,死霊の夜桜,8,博麗神社例大祭9
夕焼けコンテナ。,Yorukaze Logic,FLOWER of Star,,村瀬悠太,,恋色マスタースパーク,9,博麗神社例大祭9
夕焼けコンテナ。,Yorukaze Logic,嘘つきマスクは北風で消して,どろに,村瀬悠太,どろに,妖怪の山　～ Mysterious Mountain,10,博麗神社例大祭9
夕焼けコンテナ。,Yorukaze Logic,Sweet Potato Dream,,Progressive_P3,,人恋し神様　～ Romantic Fall,11,博麗神社例大祭9
夕焼けコンテナ。,Yorukaze Logic,El Mirador,,村瀬悠太,,平安のエイリアン,12,博麗神社例大祭9
