circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
夕焼けコンテナ。,KoishiSubterranean,daybreak,,村瀬悠太,,地霊達の起床,1,コミックマーケット83
夕焼けコンテナ。,KoishiSubterranean,うぃじゅゆ,,村瀬悠太,,ハートフェルトファンシー,2,コミックマーケット83
夕焼けコンテナ。,KoishiSubterranean,strikeE,,村瀬悠太,,霊知の太陽信仰　～ Nuclear Fusion,3,コミックマーケット83
夕焼けコンテナ。,KoishiSubterranean,Starless Lucidness,,Ecriss,,暗闇の風穴,4,コミックマーケット83
夕焼けコンテナ。,KoishiSubterranean,unfinished,,村瀬悠太,,ラストリモート,5,コミックマーケット83
夕焼けコンテナ。,KoishiSubterranean,はじまりのうた,PETAKO,村瀬悠太,多夢楽せうゆ,ハルトマンの妖怪少女,6,コミックマーケット83
夕焼けコンテナ。,KoishiSubterranean,通らば開け,,村瀬悠太,,閉ざせし雲の通い路,7,コミックマーケット83
夕焼けコンテナ。,KoishiSubterranean,sai,,村瀬悠太,,上海紅茶館　～ Chinese Tea,8,コミックマーケット83
夕焼けコンテナ。,KoishiSubterranean,風急天高,,村瀬悠太,,東方萃夢想,9,コミックマーケット83
夕焼けコンテナ。,KoishiSubterranean,Rainbow Drops,PETAKO,村瀬悠太,普透明度,U.N.オーエンは彼女なのか？,10,コミックマーケット83
夕焼けコンテナ。,KoishiSubterranean,Out of Reception,,Ecriss,,渡る者の途絶えた橋,11,コミックマーケット83
夕焼けコンテナ。,KoishiSubterranean,Happy Holy HiNight!!,,村瀬悠太,,運命のダークサイド,12,コミックマーケット83
