circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
有給休暇,"廻来-w?chst-","永夜抄　～ Eastern Night.","",,,,1,
有給休暇,"廻来-w?chst-","幻視の夜　～ Ghostly Eyes","",,,,2,
有給休暇,"廻来-w?chst-","蠢々秋月　～ Mooned Insect","",,,,3,
有給休暇,"廻来-w?chst-","夜雀の歌声　～ Night Bird","",,,,4,
有給休暇,"廻来-w?chst-","もう歌しか聞こえない","",,,,5,
有給休暇,"廻来-w?chst-","懐かしき東方の血　～ Old World","",,,,6,
有給休暇,"廻来-w?chst-","プレインエイジア","",,,,7,
有給休暇,"廻来-w?chst-","永夜の報い　～ Imperishable Night.","",,,,8,
有給休暇,"廻来-w?chst-","少女綺想曲　～ Dream Battle","",,,,9,
有給休暇,"廻来-w?chst-","恋色マスタースパーク","",,,,10,
有給休暇,"廻来-w?chst-","シンデレラケージ　～ Kagome-Kagome","",,,,11,
有給休暇,"廻来-w?chst-","狂気の瞳　～ Imvisible Full Moon","",,,,12,
有給休暇,"廻来-w?chst-","ヴォヤージュ1969","",,,,13,
有給休暇,"廻来-w?chst-","千年幻想郷　～ History of the Moon","",,,,14,
有給休暇,"廻来-w?chst-","竹取飛翔　～ Lunatic Princess","",,,,15,
有給休暇,"廻来-w?chst-","ヴォヤージュ1970","",,,,16,
有給休暇,"廻来-w?chst-","エクステンドアッシュ　～ 蓬莱人","",,,,17,
有給休暇,"廻来-w?chst-","月まで届け、不死の煙","",,,,18,
有給休暇,"廻来-w?chst-","月見草","",,,,19,
有給休暇,"廻来-w?chst-","Eternal Dream　～ 幽玄の槭樹","",,,,20,
有給休暇,"廻来-w?chst-","東方妖怪小町","",,,,21,
