circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
未完童話,"東方異想盤 Sound Track","忘れじの幻想　～ Nostalgic scenes","",,,,1,
未完童話,"東方異想盤 Sound Track","春色の憂鬱","",,,,2,
未完童話,"東方異想盤 Sound Track","アップ・タウン・トゥ・マスタースパーク","",,,,3,
未完童話,"東方異想盤 Sound Track","スター・ダスト・ビリーフ","",,,,4,
未完童話,"東方異想盤 Sound Track","フラワリング・トゥギャザー","",,,,5,
未完童話,"東方異想盤 Sound Track","さ・よ・な・ら 王女","",,,,6,
未完童話,"東方異想盤 Sound Track","チェリーブロッサム・ストリート","",,,,7,
未完童話,"東方異想盤 Sound Track","ドリーム・アバウト・ファンタジア","",,,,8,
未完童話,"東方異想盤 Sound Track","ロング・ウェイ・トゥ・ザ・スカイスクレイパー 摩天楼をまわって","",,,,9,
未完童話,"東方異想盤 Sound Track","少女はラビリンス","",,,,10,
未完童話,"東方異想盤 Sound Track","忘れじの幻想　～ Nostalgic scenes(Remix Edition)","",,,,11,
未完童話,"東方異想盤 Sound Track","忘れじの幻想　～ Nostalgic scenes(Off Vocal Version)",,,,,12,
