circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
東方テロリズム,"Northern Freeform","神さびたLife","",,,,1,
東方テロリズム,"Northern Freeform","シャレオツセプテット","",,,,2,
東方テロリズム,"Northern Freeform","u.4.Romance","",,,,3,
東方テロリズム,"Northern Freeform","平安のACID","",,,,4,
東方テロリズム,"Northern Freeform","Cherry_Boy","",,,,5,
東方テロリズム,"Northern Freeform","平安にあらず","",,,,6,
東方テロリズム,"Northern Freeform","Moon Manipulator","",,,,7,
東方テロリズム,"Northern Freeform","心を摩する高楼","",,,,8,
東方テロリズム,"Northern Freeform","blood black","",,,,9,
東方テロリズム,"Northern Freeform","horizon","",,,,10,
東方テロリズム,"Northern Freeform","the far side of the moon","",,,,11,
