circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
極東アウトブレイク,"極東アウトブレイク 弐 DISC-1","in a cycle(figured)","",,,,1,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-1","Floriography","",,,,2,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-1","noizydays","",,,,3,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-1","good bye SELENE","",,,,4,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-1","物語の消費空間における魔女という記号","",,,,5,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-1","青き河童の物語","",,,,6,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-1","キャッツ・ウォーク","",,,,7,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-1","Tornado","",,,,8,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-1","ノンストップレールウェイ","",,,,9,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-2","Truth?","",,,,1,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-2","Step","",,,,2,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-2","蠢々流我","",,,,3,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-2","ふわり覚醒","",,,,4,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-2","オール・フィクション","",,,,5,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-2","その川は遠く","",,,,6,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-2","Hiroshige Distance","",,,,7,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-2","r/e/m/u","",,,,8,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-2","spica","",,,,9,
極東アウトブレイク,"極東アウトブレイク 弐 DISC-2","The hermit","",,,,10,
