circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
武蔵野電機製作所,"水晶鳴琴音幻　～ Imaginaly Crystal's Voice","東方妖恋談","",,,,1,
武蔵野電機製作所,"水晶鳴琴音幻　～ Imaginaly Crystal's Voice","破邪の小太刀","",,,,2,
武蔵野電機製作所,"水晶鳴琴音幻　～ Imaginaly Crystal's Voice","Bad Apple...","",,,,3,
武蔵野電機製作所,"水晶鳴琴音幻　～ Imaginaly Crystal's Voice","向こう側の月","",,,,4,
武蔵野電機製作所,"水晶鳴琴音幻　～ Imaginaly Crystal's Voice","レトロスペクティブ京都","",,,,5,
武蔵野電機製作所,"水晶鳴琴音幻　～ Imaginaly Crystal's Voice","彼岸帰航","",,,,6,
武蔵野電機製作所,"水晶鳴琴音幻　～ Imaginaly Crystal's Voice","幽霊客船の時空を越えた旅","",,,,7,
武蔵野電機製作所,"水晶鳴琴音幻　～ Imaginaly Crystal's Voice","妖魔夜行","",,,,8,
武蔵野電機製作所,"水晶鳴琴音幻　～ Imaginaly Crystal's Voice","ルーネイトエルフ","",,,,9,
武蔵野電機製作所,"水晶鳴琴音幻　～ Imaginaly Crystal's Voice","狂気の瞳","",,,,10,
武蔵野電機製作所,"水晶鳴琴音幻　～ Imaginaly Crystal's Voice","信仰は儚き人間の為に","",,,,11,
武蔵野電機製作所,"水晶鳴琴音幻　～ Imaginaly Crystal's Voice","おてんば恋娘","",,,,12,
武蔵野電機製作所,"水晶鳴琴音幻　～ Imaginaly Crystal's Voice","キャプテン・ムラサ","",,,,13,
武蔵野電機製作所,"水晶鳴琴音幻　～ Imaginaly Crystal's Voice","東方の青い空","",,,,14,
武蔵野電機製作所,"水晶鳴琴音幻　～ Imaginaly Crystal's Voice","ボーダーオブライフ","",,,,15,
武蔵野電機製作所,"水晶鳴琴音幻　～ Imaginaly Crystal's Voice","ラスボスメドレー","",,,,16,
