circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
狐の工作室,東方幻想界 -花映塚の音-,花咲く丘,,水橋ゆっきー,,オリジナル,1,博麗神社例大祭9
狐の工作室,東方幻想界 -花映塚の音-,春色の巫女,,水橋ゆっきー,,春色小径　～ Colorful Path,2,博麗神社例大祭9
狐の工作室,東方幻想界 -花映塚の音-,フラワレスダークライト,,水橋ゆっきー,,オリエンタルダークフライト,3,博麗神社例大祭9
狐の工作室,東方幻想界 -花映塚の音-,メイドと花のバスケット,,水橋ゆっきー,,フラワリングナイト,4,博麗神社例大祭9
狐の工作室,東方幻想界 -花映塚の音-,そら色の向日葵,,水橋ゆっきー,,今昔幻想郷　～ Flower Land,5,博麗神社例大祭9
狐の工作室,東方幻想界 -花映塚の音-,POISON PANIC,,水橋ゆっきー,,ポイズンボディ　～ Forsaken Doll,6,博麗神社例大祭9
狐の工作室,東方幻想界 -花映塚の音-,ラッパ吹きの天狗少女,,水橋ゆっきー,,風神少女　 (Short Version),7,博麗神社例大祭9
狐の工作室,東方幻想界 -花映塚の音-,彼岸の遊覧航行,,水橋ゆっきー,,彼岸帰航　～ Riverside View,8,博麗神社例大祭9
狐の工作室,東方幻想界 -花映塚の音-,栄光の裁きの間,,水橋ゆっきー,,六十年目の東方裁判　～ Fate of Sixty Years,9,博麗神社例大祭9
狐の工作室,東方幻想界 -花映塚の音-,夢見る魂の花,,水橋ゆっきー,,此岸の塚:花は幻想のままに:魂の花　～ Another Dream...,10,博麗神社例大祭9
