circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
硫酸ポリオミノ,"Infinitism","Infinitism","",,,,1,
硫酸ポリオミノ,"Infinitism","DX MECHANICAL HIROSHIGE","",,,,2,
硫酸ポリオミノ,"Infinitism","文々ブリット","",,,,3,
硫酸ポリオミノ,"Infinitism","Dear my ""candid friend"".","",,,,4,
硫酸ポリオミノ,"Infinitism","無為色木牌子","",,,,5,
硫酸ポリオミノ,"Infinitism","底","",,,,6,
硫酸ポリオミノ,"Infinitism","ごく平凡に浅ましく","",,,,7,
硫酸ポリオミノ,"Infinitism",":=nil;","",,,,8,
硫酸ポリオミノ,"Infinitism","崩壊の碑","",,,,9,
硫酸ポリオミノ,"Infinitism","Finitism","",,,,10,
