circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
荒御霊,境界の紫,initialization,,和泉幸奇,,オリジナル,1,コミックマーケット78
荒御霊,境界の紫,始動(Blanket of Night),,haLRu:和泉幸奇,,夜が降りてくる　～ Evening Star,2,コミックマーケット78
荒御霊,境界の紫,境界の紫,,和泉幸奇,,ネクロファンタジア,3,コミックマーケット78
荒御霊,境界の紫,鼓動,,和泉幸奇,,妖々跋扈,4,コミックマーケット78
荒御霊,境界の紫,Requiem for the Phantom Ensemble,,此糸ウルヱ,,幽霊楽団　～ Phantom Ensemble,5,コミックマーケット78
荒御霊,境界の紫,Deadliner,,ハム,,封じられた妖怪　～ Lost Place,6,コミックマーケット78
荒御霊,境界の紫,truth is not truth,,techi.k,,アルティメットトゥルース,7,コミックマーケット78
荒御霊,境界の紫,formula of phantasm,,まさみティー,,ヒロシゲ36号　～ Neo Super-Express,8,コミックマーケット78
荒御霊,境界の紫,結界戦士・紫,,和泉幸奇,,夢と現の境界,9,コミックマーケット78
荒御霊,境界の紫,Night Witches into The Night Yawn,,tanigon,,魔法使いの憂鬱,10,コミックマーケット78
荒御霊,境界の紫,look up the moon from the moon,,haLRu,,向こう側の月,11,コミックマーケット78
荒御霊,境界の紫,天と地を分かつ最初のバケモノ(Origin),,和泉幸奇,,二つの世界,12,コミックマーケット78
荒御霊,境界の紫,博麗 and others,,和泉幸奇,,永遠の巫女,13,コミックマーケット78
荒御霊,境界の紫,Dreadful+Fatal Night,,ziki_7,,Demystify Feast,14,コミックマーケット78
荒御霊,境界の紫,Out of the Night,,柊秀雪,,少女秘封倶楽部,15,コミックマーケット78
