circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
街角麻婆豆,東方縦笛妖々夢,さくらさくら,,中雑魚酒菜,,さくらさくら　～ Japanize Dream...,1,コミックマーケット75
街角麻婆豆,東方縦笛妖々夢,独りぼっちの人形作り,,中雑魚酒菜,,人形裁判　～ 人の形弄びし少女,2,コミックマーケット75
街角麻婆豆,東方縦笛妖々夢,ネクロファンタジア,,中雑魚酒菜,,ネクロファンタジア,3,コミックマーケット75
街角麻婆豆,東方縦笛妖々夢,遠野幻葬幽霊楽団,,中雑魚酒菜,,遠野幻想物語:幽霊楽団　～ Phantom Ensemble,4,コミックマーケット75
街角麻婆豆,東方縦笛妖々夢,硝子花,,中雑魚酒菜,Kokurinn,東方妖々夢　～ Ancient Temple,5,コミックマーケット75
街角麻婆豆,東方縦笛妖々夢,みょんのテーマ,,中雑魚酒菜,,東方妖々夢　～ Ancient Temple,6,コミックマーケット75
街角麻婆豆,東方縦笛妖々夢,西行妖,,かっつん,,さくらさくら　～ Japanize Dream...,7,コミックマーケット75
街角麻婆豆,東方縦笛妖々夢,幽雅に咲かせ、墨染の桜,,中雑魚酒菜,,幽雅に咲かせ、墨染の桜　～ Border of Life:ボーダーオブライフ:アルティメットトゥルース,8,コミックマーケット75
街角麻婆豆,東方縦笛妖々夢,カオス花,中雑魚酒菜:orz:Kokurinn,中雑魚酒菜,Kokurinn,東方妖々夢　～ Ancient Temple,9,コミックマーケット75
街角麻婆豆,東方縦笛妖々夢,Bonus Track,,中雑魚酒菜,,その他,10,コミックマーケット75
