circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
街角麻婆豆,東方縦笛リアレンジ①,チルノのパーフェクトさんすう教室,,中雑魚酒菜:ARM,,おてんば恋娘,1,博麗神社例大祭6
街角麻婆豆,東方縦笛リアレンジ①,"Help me, ERINNNNNN!!",,中雑魚酒菜:ビートまりお,,竹取飛翔　～ Lunatic Princess,2,博麗神社例大祭6
街角麻婆豆,東方縦笛リアレンジ①,株式会社ボーダー商事・社歌,,中雑魚酒菜:D.watt,,ネクロファンタジア,3,博麗神社例大祭6
街角麻婆豆,東方縦笛リアレンジ①,アーティフィシャル・チルドレン,,中雑魚酒菜:ARM,,Romantic Children,4,博麗神社例大祭6
街角麻婆豆,東方縦笛リアレンジ①,s complex,,中雑魚酒菜:myu314,,人恋し神様　～ Romantic Fall,5,博麗神社例大祭6
街角麻婆豆,東方縦笛リアレンジ①,ウサテイ,,中雑魚酒菜:ビートまりお:myu314,,シンデレラケージ　～ Kagome-Kagome:お宇佐さまの素い幡,6,博麗神社例大祭6
街角麻婆豆,東方縦笛リアレンジ①,博麗神社町内会音頭,,中雑魚酒菜:ARM:柏木るざりん,,二色蓮花蝶　～ Ancients,7,博麗神社例大祭6
街角麻婆豆,東方縦笛リアレンジ①,明治十七年の上海アリス,,中雑魚酒菜,,上海紅茶館　～ Chinese Tea,8,博麗神社例大祭6
街角麻婆豆,東方縦笛リアレンジ①,⑨,,中雑魚酒菜,,おてんば恋娘,9,博麗神社例大祭6
街角麻婆豆,東方縦笛リアレンジ①,ってゐ～えいえいんてゐVer.～,,中雑魚酒菜:石鹸屋,,シンデレラケージ　～ Kagome-Kagome,10,博麗神社例大祭6
