circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
豚乙女,豚BEST2　18キロカロリー,空のある場所,ランコ,コンプ,コンプ,ネイティブフェイス,1,博麗神社例大祭11
豚乙女,豚BEST2　18キロカロリー,貴方と私,ランコ,コンプ,コンプ,閉ざせし雲の通い路,2,博麗神社例大祭11
豚乙女,豚BEST2　18キロカロリー,いつもの二人,ランコ,コンプ,コンプ,永夜の報い　～ Imperishable Night.,3,博麗神社例大祭11
豚乙女,豚BEST2　18キロカロリー,ない。,ランコ,コンプ,コンプ,ハルトマンの妖怪少女,4,博麗神社例大祭11
豚乙女,豚BEST2　18キロカロリー,光源,ランコ:衝動的の人,コンプ,コンプ,幽雅に咲かせ、墨染の桜　～ Border of Life,5,博麗神社例大祭11
豚乙女,豚BEST2　18キロカロリー,栄華の先,ランコ:ichigo,コンプ,ランコ,感情の摩天楼　～ Cosmic Mind,6,博麗神社例大祭11
豚乙女,豚BEST2　18キロカロリー,ムーンストーン,ランコ,コンプ,コンプ,G Free,7,博麗神社例大祭11
豚乙女,豚BEST2　18キロカロリー,パイライト,,パプリカ,,天空のグリニッジ,8,博麗神社例大祭11
豚乙女,豚BEST2　18キロカロリー,歪～Y～,ランコ,コンプ,ランコ,リジッドパラダイス:デザイアドライブ:古きユアンシェン,9,博麗神社例大祭11
豚乙女,豚BEST2　18キロカロリー,NAIMAZE,ランコ,コンプ,ランコ,ネクロファンタジア:幽雅に咲かせ、墨染の桜　～ Border of Life,10,博麗神社例大祭11
豚乙女,豚BEST2　18キロカロリー,鬼太鼓の涙,ランコ,コンプ,コンプ,佐渡の二ッ岩,11,博麗神社例大祭11
豚乙女,豚BEST2　18キロカロリー,みんなの,ランコ,コンプ,コンプ,夜雀の歌声　～ Night Bird,12,博麗神社例大祭11
豚乙女,豚BEST2　18キロカロリー,儚きもの人間,ランコ,コンプ,コンプ,柳の下のデュラハン,13,博麗神社例大祭11
豚乙女,豚BEST2　18キロカロリー,永久の迷子,ランコ,コンプ,ランコ,プレインエイジア,14,博麗神社例大祭11
豚乙女,豚BEST2　18キロカロリー,罪と罰,ランコ,コンプ,ランコ,U.N.オーエンは彼女なのか？,15,博麗神社例大祭11
豚乙女,豚BEST2　18キロカロリー,死～shi～,ランコ,コンプ,コンプ,魔女達の舞踏会,16,博麗神社例大祭11
豚乙女,豚BEST2　18キロカロリー,創めの一歩,ランコ,コンプ,ランコ,明日ハレの日、ケの昨日,17,博麗神社例大祭11
豚乙女,豚BEST2　18キロカロリー,行雲流水,ランコ,コンプ,コンプ,悠久の蒸気機関,18,博麗神社例大祭11
