circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
赤黄色向日葵　～ A Kaleidoscope of a noise,"whimsical angel ver.5.2","人形裁判　～ whimsical angel",,,,,1,
赤黄色向日葵　～ A Kaleidoscope of a noise,"whimsical angel ver.5.2","今昔幻想郷　～ Flower empire ver.5.2",,,,,2,
赤黄色向日葵　～ A Kaleidoscope of a noise,"whimsical angel ver.5.2","おてんば恋娘　～ Ro⑨'n Roll ver.5.2",,,,,3,
赤黄色向日葵　～ A Kaleidoscope of a noise,"whimsical angel ver.5.2","ルーネイトエルフ　～ naughty girls",,,,,4,
赤黄色向日葵　～ A Kaleidoscope of a noise,"whimsical angel ver.5.2","春色小径　～ Fourth spring",,,,,5,
赤黄色向日葵　～ A Kaleidoscope of a noise,"whimsical angel ver.5.2","青木ヶ原の伝説　～ Deep looper",,,,,6,
赤黄色向日葵　～ A Kaleidoscope of a noise,"whimsical angel ver.5.2","幽玄の槭樹　～ Another XANADU",,,,,7,
赤黄色向日葵　～ A Kaleidoscope of a noise,"whimsical angel ver.5.2","ポイズンボディ　～ Wither doll",,,,,8,
赤黄色向日葵　～ A Kaleidoscope of a noise,"whimsical angel ver.5.2","もう歌しか聞こえない　～ Don't eat me!! ver.5.2",,,,,9,
赤黄色向日葵　～ A Kaleidoscope of a noise,"whimsical angel ver.5.2","千年幻想郷　～ dracin girls",,,,,10,
赤黄色向日葵　～ A Kaleidoscope of a noise,"whimsical angel ver.5.2","亡き王女の為のセプテット　～ fierce cutely",,,,,11,
赤黄色向日葵　～ A Kaleidoscope of a noise,"whimsical angel ver.5.2","月時計　～ decadence moonshine",,,,,12,
