circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
音召缶,Carmishen Mound,十六夜に駆けていく,黒崎朔夜,MUZIK SERVANT,こばきょん,フラワリングナイト,1,博麗神社例大祭10
音召缶,Carmishen Mound,Sweet poison,美里,Freezer,,ポイズンボディ　～ Forsaken Doll,2,博麗神社例大祭10
音召缶,Carmishen Mound,死神の笑み紅きこと,CHERICa,MUZIK SERVANT,,彼岸帰航　～ Riverside View,3,博麗神社例大祭10
音召缶,Carmishen Mound,幻影小怪-Fantasm Mirage-,梨本悠里,やまにょん,,春色小径　～ Colorful Path,4,博麗神社例大祭10
音召缶,Carmishen Mound,Lost Child,CHERICa,Dee!,躁鬱とらこ,今昔幻想郷　～ Flower Land,5,博麗神社例大祭10
音召缶,Carmishen Mound,Churu-churu,CHERICa,Richiter,,おてんば恋娘の冒険,6,博麗神社例大祭10
音召缶,Carmishen Mound,happy rabbit dance,CHERICa,cobalt green,,狂気の瞳　～ Invisible Full Moon,7,博麗神社例大祭10
音召缶,Carmishen Mound,Pop Light Star,まめみ,MUZIK SERVANT,,オリエンタルダークフライト,8,博麗神社例大祭10
音召缶,Carmishen Mound,end of the sight,CHERICa,you,,広有射怪鳥事　～ Till When?,9,博麗神社例大祭10
音召缶,Carmishen Mound,inside me　～ 墜落少女,美里,Blue Twinkle,躁鬱とらこ,六十年目の東方裁判　～ Fate of Sixty Years,10,博麗神社例大祭10
