circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
=NeutraL=,Heart to Heart,地霊殿の雪,,KAT,,ハートフェルトファンシー,1,コミックマーケット75
=NeutraL=,Heart to Heart,旅行したい!,,やつめうなぎ,,死体旅行　～ Be of good cheer!,2,コミックマーケット75
=NeutraL=,Heart to Heart,渡る者の途絶えた橋,,伊東トラ,,渡る者の途絶えた橋,3,コミックマーケット75
=NeutraL=,Heart to Heart,R259　～ 地獄バイパス,,o.k.o.G4,,旧地獄街道を行く,4,コミックマーケット75
=NeutraL=,Heart to Heart,少女さとり　～ 3rd eye,,DRUGON,,少女さとり　～ 3rd eye,5,コミックマーケット75
=NeutraL=,Heart to Heart,青眼のJEALOUSY,,ただお,,緑眼のジェラシー,6,コミックマーケット75
=NeutraL=,Heart to Heart,廃獄ララバイ,,クローンソルジャー,,廃獄ララバイ,7,コミックマーケット75
=NeutraL=,Heart to Heart,ROCKER HELLCAT,,沢渡和音,,死体旅行　～ Be of good cheer!,8,コミックマーケット75
=NeutraL=,Heart to Heart,業火マントル,,sgg,,業火マントル,9,コミックマーケット75
=NeutraL=,Heart to Heart,妄想丑の刻参り-Original-,,七草多粥,,緑眼のジェラシー,10,コミックマーケット75
=NeutraL=,Heart to Heart,暗闇の風穴,,Nanasy,,暗闇の風穴,11,コミックマーケット75
=NeutraL=,Heart to Heart,ラストリモート,,クローンソルジャー,,ラストリモート,12,コミックマーケット75
=NeutraL=,Heart to Heart,旧地獄爆速街道～full throttle mix～,,沢渡和音,,旧地獄街道を行く,13,コミックマーケット75
=NeutraL=,Heart to Heart,エネルギー冷麺,,KuKuDoDo,,エネルギー黎明　～ Future Dream...,14,コミックマーケット75
=NeutraL=,Heart to Heart,ハートフェルトファンシー,,takayan,,ハートフェルトファンシー,15,コミックマーケット75
=NeutraL=,Heart to Heart,間欠泉を目指せ,,ひこすけ,,地霊達の起床,16,コミックマーケット75
