circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
[kapparecords],"Aphrodite-SCARLET FANTASIAáZ-/SCARLET FANTASIAáY(twin pack) DISC-1","Holy, Unholy","",,,,1,
[kapparecords],"Aphrodite-SCARLET FANTASIAáZ-/SCARLET FANTASIAáY(twin pack) DISC-1","êlå`à§","",,,,2,
[kapparecords],"Aphrodite-SCARLET FANTASIAáZ-/SCARLET FANTASIAáY(twin pack) DISC-1","Reach For The Moon","",,,,3,
[kapparecords],"Aphrodite-SCARLET FANTASIAáZ-/SCARLET FANTASIAáY(twin pack) DISC-1","After Midnight",,,,,4,
[kapparecords],"Aphrodite-SCARLET FANTASIAáZ-/SCARLET FANTASIAáY(twin pack) DISC-1","Fear","",,,,5,
[kapparecords],"Aphrodite-SCARLET FANTASIAáZ-/SCARLET FANTASIAáY(twin pack) DISC-1","Day Dream","",,,,6,
[kapparecords],"Aphrodite-SCARLET FANTASIAáZ-/SCARLET FANTASIAáY(twin pack) DISC-2","Edge Of The World-voiceless extend version-",,,,,1,
[kapparecords],"Aphrodite-SCARLET FANTASIAáZ-/SCARLET FANTASIAáY(twin pack) DISC-2","ñÇìs-voiceless version-",,,,,2,
[kapparecords],"Aphrodite-SCARLET FANTASIAáZ-/SCARLET FANTASIAáY(twin pack) DISC-2","ÉGÉEÉäÉÖÉmÉÅ-voiceless version-",,,,,3,
[kapparecords],"Aphrodite-SCARLET FANTASIAáZ-/SCARLET FANTASIAáY(twin pack) DISC-2","Pray-voiceless version-",,,,,4,
[kapparecords],"Aphrodite-SCARLET FANTASIAáZ-/SCARLET FANTASIAáY(twin pack) DISC-3","Messiah",,,,,1,
[kapparecords],"Aphrodite-SCARLET FANTASIAáZ-/SCARLET FANTASIAáY(twin pack) DISC-3","ñÇìs","",,,,2,
[kapparecords],"Aphrodite-SCARLET FANTASIAáZ-/SCARLET FANTASIAáY(twin pack) DISC-3","ÉGÉEÉäÉÖÉmÉÅ","",,,,3,
[kapparecords],"Aphrodite-SCARLET FANTASIAáZ-/SCARLET FANTASIAáY(twin pack) DISC-3","Cybele-the mother of god-",,,,,4,
[kapparecords],"Aphrodite-SCARLET FANTASIAáZ-/SCARLET FANTASIAáY(twin pack) DISC-3","Pray","",,,,5,
