circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
℃@non,"Pleasant P×℃","封じられた妖怪",,,,,1,
℃@non,"Pleasant P×℃","厄神様の通り道",,,,,2,
℃@non,"Pleasant P×℃","DEEP DEEP Jealousy",,,,,3,
℃@non,"Pleasant P×℃","うたげDASH",,,,,4,
℃@non,"Pleasant P×℃","Miracle∞Hinacle",,,,,5,
℃@non,"Pleasant P×℃","東方スイーツ!～鬼畜姉妹と受難メイド～",,,,,6,
℃@non,"Pleasant P×℃","私の在り処",,,,,7,
℃@non,"Pleasant P×℃","二人のダンスフロア",,,,,8,
℃@non,"Pleasant P×℃","私の在り処(off vocal)",,,,,9,
℃@non,"Pleasant P×℃","二人のダンスフロア(off vocal)",,,,,10,
