circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
凸凹えんたーていんめんとすたじお,"Deco-Boco Esoteric Society+","月面から大空への行進",,,,,1,
凸凹えんたーていんめんとすたじお,"Deco-Boco Esoteric Society+","Moonlight Legend Dendera",,,,,2,
凸凹えんたーていんめんとすたじお,"Deco-Boco Esoteric Society+","笛莱伝説",,,,,3,
凸凹えんたーていんめんとすたじお,"Deco-Boco Esoteric Society+","くるまいすのみらいうちゅう",,,,,4,
凸凹えんたーていんめんとすたじお,"Deco-Boco Esoteric Society+","Eternal Esoteric Emotion",,,,,5,
凸凹えんたーていんめんとすたじお,"Deco-Boco Esoteric Society+","月夜に浮かぶ幻想郷",,,,,6,
凸凹えんたーていんめんとすたじお,"Deco-Boco Esoteric Society+","天空の笛ニッジ",,,,,7,
凸凹えんたーていんめんとすたじお,"Deco-Boco Esoteric Society+","じー ふりー",,,,,8,
凸凹えんたーていんめんとすたじお,"Deco-Boco Esoteric Society+","緑のサナトリコーダー",,,,,9,
凸凹えんたーていんめんとすたじお,"Deco-Boco Esoteric Society+","とろやぐんのみつりん",,,,,10,
凸凹えんたーていんめんとすたじお,"Deco-Boco Esoteric Society+","ノスタルジオの空",,,,,11,
凸凹えんたーていんめんとすたじお,"Deco-Boco Esoteric Society+","未知の旅路",,,,,12,
凸凹えんたーていんめんとすたじお,"Deco-Boco Esoteric Society+","最も澄みわたらない笛と鍵",,,,,13,
凸凹えんたーていんめんとすたじお,"Deco-Boco Esoteric Society+","Neo Local-Express Hiroshige",,,,,14,
凸凹えんたーていんめんとすたじお,"Deco-Boco Esoteric Society+","秋の帰り道",,,,,15,
