circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
2SP+C'K,"当方似非々々夢","境界式 - secret garden",,,,,1,
2SP+C'K,"当方似非々々夢","Spell of Love","",,,,2,
2SP+C'K,"当方似非々々夢","Fall into Heaven - extra yashi no mix",,,,,3,
2SP+C'K,"当方似非々々夢","Fancy and Pants",,,,,4,
2SP+C'K,"当方似非々々夢","Dd,DP",,,,,5,
2SP+C'K,"当方似非々々夢","辞令",,,,,6,
2SP+C'K,"当方似非々々夢","Day Break",,,,,7,
2SP+C'K,"当方似非々々夢","エタトリマスパ緋紅の夢",,,,,8,
2SP+C'K,"当方似非々々夢","境界式 - prayers",,,,,9,
2SP+C'K,"当方似非々々夢","当方似非々々夢 - not possible to read",,,,,10,
2SP+C'K,"当方似非々々夢","mouse on the planet - デスモアの調べ",,,,,11,
2SP+C'K,"当方似非々々夢","境界式 - sakura",,,,,12,
2SP+C'K,"当方似非々々夢","幻・少女",,,,,13,
2SP+C'K,"当方似非々々夢","Spell of Love - natsumix","",,,,14,
