circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
38BEETS,Ring,ミッドポイントの夜明け,琴音,藤谷尚希,Pyn,空の帰り道　～ Sky Dream,1,コミックマーケット79
38BEETS,Ring,灰塵,Pyn,藤谷尚希,青時,ハートフェルトファンシー,2,コミックマーケット79
38BEETS,Ring,Verdigris,柊蜜柑,藤谷尚希,紫飴,少女が見た日本の原風景,3,コミックマーケット79
38BEETS,Ring,白のカーテン　～ Phantom of winter,39*,藤谷尚希,青時,クリスタライズシルバー,4,コミックマーケット79
38BEETS,Ring,Envy,ゆきまめ,藤谷尚希,藤谷尚希,無間の鐘　～ Infinite Nightmare,5,コミックマーケット79
38BEETS,Ring,History,みた,藤谷尚希:紫飴,みた,懐かしき東方の血　～ Old World,6,コミックマーケット79
38BEETS,Ring,sweet slap,Pyn,藤谷尚希:紫飴,Pyn,狂気の瞳　～ Invisible Full Moon,7,コミックマーケット79
38BEETS,Ring,Permanence,39*:mineko,藤谷尚希,紫飴,ネクロファンタジア,8,コミックマーケット79
38BEETS,Ring,Line,紫飴,藤谷尚希,ななつき,あなたの町の怪事件,9,コミックマーケット79
38BEETS,Ring,Solitary strength,琴音,藤谷尚希,藤谷尚希,プレインエイジア,10,コミックマーケット79
38BEETS,Ring,瑕月,琴音,marque,marque,プレインエイジア:懐かしき東方の血　～ Old World,11,コミックマーケット79
38BEETS,Ring,相反永久スパイラル,琴音,あいざわ,海兎,プレインエイジア,12,コミックマーケット79
