circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
38BEETS,Edge of life,Autumn,,藤谷尚希,,人恋し神様　～ Romantic Fall:稲田姫様に叱られるから,1,博麗神社例大祭9
38BEETS,Edge of life,graveyard,紫飴,紫飴:藤谷尚希,紫飴,死霊の夜桜,2,博麗神社例大祭9
38BEETS,Edge of life,∞Pentagon　～ I know,紫飴,紫飴:藤谷尚希,紫飴,小さな欲望の星空,3,博麗神社例大祭9
38BEETS,Edge of life,輪舞,紫飴,藤谷尚希,藤谷尚希,魔法少女達の百年祭,4,博麗神社例大祭9
38BEETS,Edge of life,夜空の月まで,琴音,藤谷尚希,藤谷尚希,懐かしき東方の血　～ Old World:月まで届け、不死の煙,5,博麗神社例大祭9
38BEETS,Edge of life,紅,mineko,藤谷尚希,藤谷尚希,ほおずきみたいに紅い魂,6,博麗神社例大祭9
38BEETS,Edge of life,Miss you,,藤谷尚希,,少女さとり　～ 3rd eye,7,博麗神社例大祭9
38BEETS,Edge of life,Wishes secretly,mineko,藤谷尚希,藤谷尚希,上海紅茶館　～ Chinese Tea,8,博麗神社例大祭9
38BEETS,Edge of life,桜扇舞,紫飴,紫飴,紫飴,幽雅に咲かせ、墨染の桜　～ Border of Life,9,博麗神社例大祭9
38BEETS,Edge of life,Innocent,,藤谷尚希,,感情の摩天楼　～ Cosmic Mind,10,博麗神社例大祭9
38BEETS,Edge of life,Dear rest,美里,藤谷尚希,藤谷尚希,U.N.オーエンは彼女なのか？,11,博麗神社例大祭9
