circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
556ミリメートル,556mm THE BEST vol.02-Dancing Girls Best-,Phantom dinning tonight!,黒崎朔夜,Tomoya,海兎,幽霊楽団　～ Phantom Ensemble,1,コミックマーケット88
556ミリメートル,556mm THE BEST vol.02-Dancing Girls Best-,water ripple,めらみぽっぷ,Tomoya,海兎,芥川龍之介の河童　～ Candid Friend,2,コミックマーケット88
556ミリメートル,556mm THE BEST vol.02-Dancing Girls Best-,DOUBLE SHOOTER,柿チョコ,Tomoya,海兎,妖怪の山　～ Mysterious Mountain,3,コミックマーケット88
556ミリメートル,556mm THE BEST vol.02-Dancing Girls Best-,my own way,あひる,Tomoya,海兎,有頂天変　～ Wonderful Heaven,4,コミックマーケット88
556ミリメートル,556mm THE BEST vol.02-Dancing Girls Best-,COUNT:0,黒崎朔夜,Tomoya,海兎,運命のダークサイド,5,コミックマーケット88
556ミリメートル,556mm THE BEST vol.02-Dancing Girls Best-,サクラビト,紫咲ほたる,Tomoya,海兎,東方妖々夢　～ Ancient Temple,6,コミックマーケット88
556ミリメートル,556mm THE BEST vol.02-Dancing Girls Best-,Beyond Time and Space,miko,Tomoya,海兎,Maple Dream...,7,コミックマーケット88
556ミリメートル,556mm THE BEST vol.02-Dancing Girls Best-,"water,wind",F9,Tomoya,海兎,神々が恋した幻想郷,8,コミックマーケット88
556ミリメートル,556mm THE BEST vol.02-Dancing Girls Best-,spectre of love,黒崎朔夜,Tomoya,海兎,ブクレシュティの人形師,9,コミックマーケット88
556ミリメートル,556mm THE BEST vol.02-Dancing Girls Best-,Ash Like Snow,めらみぽっぷ,Tomoya,海兎,エクステンドアッシュ　～ 蓬莱人,10,コミックマーケット88
556ミリメートル,556mm THE BEST vol.02-Dancing Girls Best-,Wishing in the Dark,ななひら,Tomoya,海兎,妖魔夜行,11,コミックマーケット88
556ミリメートル,556mm THE BEST vol.02-Dancing Girls Best-,ROLLING ROLLING,黒崎朔夜,Tomoya,海兎,厄神様の通り道　～ Dark Road,12,コミックマーケット88
556ミリメートル,556mm THE BEST vol.02-Dancing Girls Best-,ADVENTURE WORLD,黒崎朔夜,Tomoya,海兎,遠野幻想物語,13,コミックマーケット88
556ミリメートル,556mm THE BEST vol.02-Dancing Girls Best-,Dreamin of you,黒崎朔夜,Tomoya,海兎,東方妖恋談,14,コミックマーケット88
556ミリメートル,556mm THE BEST vol.02-Dancing Girls Best-,into futurity,紫咲ほたる,Tomoya,海兎,春の湊に,15,コミックマーケット88
556ミリメートル,556mm THE BEST vol.02-Dancing Girls Best-,Vanishment My World,まめみ,Tomoya,海兎,the Last Judgement,16,コミックマーケット88
556ミリメートル,556mm THE BEST vol.02-Dancing Girls Best-,SUPER SONIC,ななひら,Tomoya,海兎,風神少女,17,コミックマーケット88
