circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
9bFOX,"Birth of the Chain","INTRO",,,,,1,
9bFOX,"Birth of the Chain","LETTER","",,,,2,
9bFOX,"Birth of the Chain","Firefly, Files","",,,,3,
9bFOX,"Birth of the Chain","Sword to my head","",,,,4,
9bFOX,"Birth of the Chain","BREAK","",,,,5,
9bFOX,"Birth of the Chain","é˚änç’","",,,,6,
9bFOX,"Birth of the Chain","Across the mountain","",,,,7,
9bFOX,"Birth of the Chain","çgÉLåéÉjô·ÉGÉã","",,,,8,
9bFOX,"Birth of the Chain","Necro-Fantasy","",,,,9,
9bFOX,"Birth of the Chain","Hakutaku's lullaby","",,,,10,
