circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
A-One,TOHO EUROBEAT VOL.12 DOUBLE DEALING CHARACTER,Break the Hierarchie,花たん,DJ Command,Yassie,リバースイデオロギー,1,コミックマーケット88
A-One,TOHO EUROBEAT VOL.12 DOUBLE DEALING CHARACTER,Solitude,越田Rute隆人,ELEMENTAS,Rute,満月の竹林:孤独なウェアウルフ,2,コミックマーケット88
A-One,TOHO EUROBEAT VOL.12 DOUBLE DEALING CHARACTER,Rhythm Mania,NU-KO,FN2,Yassie,不思議なお祓い棒:不思議な不思議な道具達,3,コミックマーケット88
A-One,TOHO EUROBEAT VOL.12 DOUBLE DEALING CHARACTER,Calm and the Storm,Odyssey,Odyssey,T.Stebbins,ミストレイク:秘境のマーメイド,4,コミックマーケット88
A-One,TOHO EUROBEAT VOL.12 DOUBLE DEALING CHARACTER,Reversible Voice,まめみ,cobalt green,Yassie,空中に沈む輝針城,5,コミックマーケット88
A-One,TOHO EUROBEAT VOL.12 DOUBLE DEALING CHARACTER,Little Princess,めらみぽっぷ,ELEMENTAS,Yassie,針小棒大の天守閣:輝く針の小人族　～ Little Princess,6,コミックマーケット88
A-One,TOHO EUROBEAT VOL.12 DOUBLE DEALING CHARACTER,UNINSTALL LOVE,Odyssey,Odyssey,T.Stebbins,魔力の雷雲,7,コミックマーケット88
A-One,TOHO EUROBEAT VOL.12 DOUBLE DEALING CHARACTER,SOUND STORM,あき(はにーぽけっと),Tsukasa Ft. katsu,あき(はにーぽけっと),マジカルストーム:幻想浄瑠璃,8,コミックマーケット88
A-One,TOHO EUROBEAT VOL.12 DOUBLE DEALING CHARACTER,Shyness,越田Rute隆人:あき(はにーぽけっと),DJ Command,Rute,運河を行き交う人妖:柳の下のデュラハン,9,コミックマーケット88
A-One,TOHO EUROBEAT VOL.12 DOUBLE DEALING CHARACTER,ANGEL LOVER,Cocoa,FN2,Cocoa,始原のビート　～ Pristine Beat,10,コミックマーケット88
